seed,model,coverage_pf_mean,coverage_pf,q_pf,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
45,MeanPoolLinear_NLL+conformal90,0.8992579365079367,"[0.8986904761904762, 0.8985714285714286, 0.8982539682539683, 0.8949603174603175, 0.8983730158730159, 0.8957539682539682, 0.8969047619047619, 0.9046031746031746, 0.9038492063492064, 0.9026190476190477]","[0.9007086157798767, 0.6324723958969116, 0.9268231391906738, 0.9847251176834106, 1.0287744998931885, 1.0043796300888062, 0.6187089085578918, 0.5248302221298218, 0.8320317268371582, 0.8479447364807129]",MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed45,meanpool_linear,MeanPoolLinear,nll,NLL
45,MeanPoolMLP_NLL+conformal90,0.8989444444444443,"[0.9013492063492063, 0.8991269841269841, 0.8984126984126984, 0.8961111111111111, 0.8999206349206349, 0.8978571428571429, 0.8957539682539682, 0.8962698412698412, 0.9017460317460317, 0.9028968253968254]","[0.5855628252029419, 0.43754392862319946, 0.6331464648246765, 0.8202833533287048, 0.8131993412971497, 0.8914579153060913, 0.38842445611953735, 0.4110254943370819, 0.6968367099761963, 0.06543189287185669]",MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed45,meanpool,MeanPoolMLP,nll,NLL
45,FlatMLP_NLL+conformal90,0.898424603174603,"[0.8969444444444444, 0.8954761904761904, 0.9002777777777777, 0.896984126984127, 0.9016269841269842, 0.898531746031746, 0.895515873015873, 0.898968253968254, 0.9023809523809524, 0.8975396825396825]","[0.3400970697402954, 0.2517598867416382, 0.39277908205986023, 0.5451348423957825, 0.49313434958457947, 0.5817992687225342, 0.20200780034065247, 0.38801875710487366, 0.4124647080898285, 0.06858174502849579]",FlatMLP_NLL,FlatMLP_NLL_seed45,flatmlp,FlatMLP,nll,NLL
45,DeepSets_NLL+conformal90,0.8994047619047618,"[0.8994841269841269, 0.8970238095238096, 0.9008730158730158, 0.8998412698412699, 0.8990079365079365, 0.8961111111111111, 0.8963492063492063, 0.8990873015873015, 0.9041269841269841, 0.9021428571428571]","[0.44775471091270447, 0.3205491900444031, 0.5658010840415955, 0.805930495262146, 0.8662211894989014, 1.001010537147522, 0.24894410371780396, 0.411641389131546, 0.6539939641952515, 0.0696062222123146]",DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL
45,FactorQuery_NLL+conformal90,0.8998333333333333,"[0.9018650793650793, 0.9003968253968254, 0.8994444444444445, 0.9031349206349206, 0.8951587301587302, 0.8973412698412698, 0.8965079365079365, 0.9016666666666666, 0.9015079365079365, 0.9013095238095238]","[0.46022751927375793, 0.3271627426147461, 0.6843754053115845, 0.8737667798995972, 0.8494211435317993, 0.8791951537132263, 0.2355867475271225, 0.45025014877319336, 0.6112277507781982, 0.07849197089672089]",FactorQuery_NLL,FactorQuery_NLL_seed45,factorquery,FactorQuery,nll,NLL
45,MeanPoolLinear_RESVAR+conformal90,0.8989841269841271,"[0.9007936507936508, 0.8988095238095238, 0.900515873015873, 0.8954761904761904, 0.8977777777777778, 0.8925793650793651, 0.8956349206349207, 0.9033333333333333, 0.9021031746031746, 0.9028174603174604]","[0.8976543545722961, 0.6176086664199829, 0.9116522073745728, 0.9798918962478638, 1.019096851348877, 0.9980473518371582, 0.6146916747093201, 0.5227202773094177, 0.8407426476478577, 0.7972758412361145]",MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed45,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
45,MeanPoolMLP_RESVAR+conformal90,0.8983571428571429,"[0.897420634920635, 0.8949206349206349, 0.8976984126984127, 0.8996031746031746, 0.8990476190476191, 0.8980952380952381, 0.8963492063492063, 0.8992063492063492, 0.8994444444444445, 0.9017857142857143]","[0.5701760649681091, 0.434304416179657, 0.6259227395057678, 0.7875128984451294, 0.7810717821121216, 0.8616529703140259, 0.38234803080558777, 0.4067959189414978, 0.669058084487915, 0.06654070317745209]",MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
45,FlatMLP_RESVAR+conformal90,0.8973333333333334,"[0.8969047619047619, 0.8963492063492063, 0.8972222222222223, 0.8988095238095238, 0.9003174603174603, 0.8952777777777777, 0.8905555555555555, 0.8970238095238096, 0.902420634920635, 0.898452380952381]","[0.3194572925567627, 0.24239476025104523, 0.3641616404056549, 0.49813246726989746, 0.4423254728317261, 0.5640456676483154, 0.19036024808883667, 0.3852146863937378, 0.3947850465774536, 0.0741853415966034]",FlatMLP_RESVAR,FlatMLP_RESVAR_seed45,flatmlp,FlatMLP,residual_variance_reg,RESVAR
45,DeepSets_RESVAR+conformal90,0.8993015873015873,"[0.8958333333333334, 0.8980952380952381, 0.903968253968254, 0.9006349206349207, 0.8977777777777778, 0.8997619047619048, 0.8972619047619048, 0.8986507936507937, 0.8967857142857143, 0.9042460317460318]","[0.43428337574005127, 0.3220357894897461, 0.5530622005462646, 0.7322647571563721, 0.7270885109901428, 0.8679096698760986, 0.2603287696838379, 0.40180703997612, 0.4735417664051056, 0.07153847813606262]",DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,FactorQuery_RESVAR+conformal90,0.8970912698412699,"[0.8948015873015873, 0.896547619047619, 0.8969444444444444, 0.8968650793650793, 0.8967460317460317, 0.8947619047619048, 0.8951984126984127, 0.898531746031746, 0.9003968253968254, 0.9001190476190476]","[0.4653811752796173, 0.36658692359924316, 0.6543183922767639, 0.8155797123908997, 0.8157151341438293, 0.8218328952789307, 0.27845466136932373, 0.42816051840782166, 0.49685582518577576, 0.0726877972483635]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed45,factorquery,FactorQuery,residual_variance_reg,RESVAR
46,MeanPoolLinear_NLL+conformal90,0.8987857142857143,"[0.8996428571428572, 0.8998809523809523, 0.8995238095238095, 0.893095238095238, 0.8989285714285714, 0.8974603174603175, 0.9011507936507936, 0.8980555555555556, 0.8993253968253968, 0.9007936507936508]","[0.8990311026573181, 0.6373270750045776, 0.9261218309402466, 0.9834883213043213, 1.0295507907867432, 1.0110151767730713, 0.6279416084289551, 0.51375412940979, 0.821918785572052, 0.8388814926147461]",MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed46,meanpool_linear,MeanPoolLinear,nll,NLL
46,MeanPoolMLP_NLL+conformal90,0.8991071428571429,"[0.8999206349206349, 0.8959126984126984, 0.8988888888888888, 0.9001984126984127, 0.8989285714285714, 0.8991269841269841, 0.9005952380952381, 0.8948809523809523, 0.901984126984127, 0.9006349206349207]","[0.5780099034309387, 0.42110341787338257, 0.628078043460846, 0.799842894077301, 0.8270896077156067, 0.9093074202537537, 0.3871847093105316, 0.40497830510139465, 0.7038654685020447, 0.08270890265703201]",MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed46,meanpool,MeanPoolMLP,nll,NLL
46,FlatMLP_NLL+conformal90,0.8969841269841268,"[0.9007936507936508, 0.895952380952381, 0.8933333333333333, 0.893531746031746, 0.8968650793650793, 0.900079365079365, 0.8960317460317461, 0.8937698412698413, 0.8992063492063492, 0.9002777777777777]","[0.3353385329246521, 0.24318288266658783, 0.36900779604911804, 0.5132507085800171, 0.47417277097702026, 0.5900651812553406, 0.1950913965702057, 0.3831042945384979, 0.396170437335968, 0.06530987471342087]",FlatMLP_NLL,FlatMLP_NLL_seed46,flatmlp,FlatMLP,nll,NLL
46,DeepSets_NLL+conformal90,0.8987936507936508,"[0.9017063492063492, 0.8977380952380952, 0.892420634920635, 0.9011904761904762, 0.8986507936507937, 0.9001190476190476, 0.8997619047619048, 0.8995634920634921, 0.8992063492063492, 0.8975793650793651]","[0.440873920917511, 0.3168630301952362, 0.564503014087677, 0.7680632472038269, 0.9133278131484985, 0.919029712677002, 0.2550404369831085, 0.41272255778312683, 1.3146451711654663, 0.06514642387628555]",DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
46,FactorQuery_NLL+conformal90,0.8999246031746033,"[0.9038492063492064, 0.8984920634920635, 0.8971031746031746, 0.8973412698412698, 0.9019444444444444, 0.9013492063492063, 0.8972619047619048, 0.8981349206349206, 0.9027777777777778, 0.9009920634920635]","[0.4660024344921112, 0.36291828751564026, 0.6677812337875366, 0.8528515100479126, 0.8828831315040588, 0.8820670247077942, 0.24030128121376038, 0.4381609857082367, 0.5280373096466064, 0.09362506121397018]",FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
46,MeanPoolLinear_RESVAR+conformal90,0.8988055555555556,"[0.8998809523809523, 0.9, 0.900436507936508, 0.895, 0.8982539682539683, 0.8963492063492063, 0.900952380952381, 0.8979365079365079, 0.8986904761904762, 0.9005555555555556]","[0.8942906260490417, 0.6216435432434082, 0.9080522656440735, 0.9807804226875305, 1.0196046829223633, 1.0052200555801392, 0.6238080263137817, 0.5106125473976135, 0.8314864039421082, 0.7845665812492371]",MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
46,MeanPoolMLP_RESVAR+conformal90,0.8984246031746033,"[0.9014682539682539, 0.900515873015873, 0.8972222222222223, 0.8940476190476191, 0.8990079365079365, 0.8957142857142857, 0.9017460317460317, 0.8946428571428572, 0.8976587301587302, 0.9022222222222223]","[0.5949610471725464, 0.4186255633831024, 0.6149972677230835, 0.7984907031059265, 0.7992401123046875, 0.8631088137626648, 0.408888041973114, 0.4041655361652374, 0.6629382371902466, 0.0642058476805687]",MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed46,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
46,FlatMLP_RESVAR+conformal90,0.8970079365079364,"[0.8978174603174603, 0.8933730158730159, 0.8969047619047619, 0.8927380952380952, 0.8978174603174603, 0.898531746031746, 0.8967063492063492, 0.8969047619047619, 0.900515873015873, 0.8987698412698413]","[0.3273221552371979, 0.2343020737171173, 0.3495975732803345, 0.48053601384162903, 0.46422359347343445, 0.5441529154777527, 0.19704128801822662, 0.3887558579444885, 0.3920272886753082, 0.06303073465824127]",FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
46,DeepSets_RESVAR+conformal90,0.8992222222222223,"[0.9090873015873016, 0.8994841269841269, 0.8948809523809523, 0.8982936507936508, 0.8987301587301587, 0.8992857142857142, 0.9003174603174603, 0.8937301587301587, 0.9015873015873016, 0.8968253968253969]","[0.44641098380088806, 0.3298998475074768, 0.5570322275161743, 0.7393848896026611, 0.781833291053772, 0.8562278747558594, 0.26107099652290344, 0.39655688405036926, 0.4694582521915436, 0.07233694940805435]",DeepSets_RESVAR,DeepSets_RESVAR_seed46,deepsets,DeepSets,residual_variance_reg,RESVAR
46,FactorQuery_RESVAR+conformal90,0.8995634920634921,"[0.9061111111111111, 0.9035714285714286, 0.8947619047619048, 0.896547619047619, 0.8994444444444445, 0.8957936507936508, 0.9010317460317461, 0.8980952380952381, 0.9001984126984127, 0.900079365079365]","[0.4866882264614105, 0.3422859311103821, 0.7739030718803406, 0.970007061958313, 0.9678220748901367, 0.9502615928649902, 0.25921452045440674, 0.44937098026275635, 0.7607579827308655, 0.09644489735364914]",FactorQuery_RESVAR,FactorQuery_RESVAR_seed46,factorquery,FactorQuery,residual_variance_reg,RESVAR
47,MeanPoolLinear_NLL+conformal90,0.8981626984126985,"[0.8946031746031746, 0.8942063492063492, 0.8999206349206349, 0.8981746031746032, 0.9013492063492063, 0.8964682539682539, 0.8971825396825397, 0.8961507936507936, 0.8994444444444445, 0.9041269841269841]","[0.8859871625900269, 0.6191403865814209, 0.9320991039276123, 0.9980107545852661, 1.0352510213851929, 1.007108449935913, 0.6225546598434448, 0.5099635124206543, 0.8226779103279114, 0.8521361351013184]",MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
47,MeanPoolMLP_NLL+conformal90,0.8975912698412699,"[0.8958333333333334, 0.9005952380952381, 0.8983730158730159, 0.8987301587301587, 0.8990079365079365, 0.8961507936507936, 0.8970238095238096, 0.8942460317460318, 0.8980555555555556, 0.8978968253968254]","[0.5695533156394958, 0.4510842263698578, 0.6126538515090942, 0.8024157285690308, 0.8200633525848389, 0.8856178522109985, 0.38038191199302673, 0.4019491672515869, 0.6816068291664124, 0.06344584375619888]",MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
47,FlatMLP_NLL+conformal90,0.9000198412698414,"[0.9013095238095238, 0.905, 0.9044047619047619, 0.9013492063492063, 0.8980952380952381, 0.900079365079365, 0.8968650793650793, 0.8937698412698413, 0.8996825396825396, 0.8996428571428572]","[0.3299834430217743, 0.25071534514427185, 0.3789472281932831, 0.5446843504905701, 0.4958042502403259, 0.6021377444267273, 0.19306068122386932, 0.3940342962741852, 0.3992649018764496, 0.06714431941509247]",FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
47,DeepSets_NLL+conformal90,0.8991984126984127,"[0.9044444444444445, 0.9006349206349207, 0.8988888888888888, 0.9007142857142857, 0.9029365079365079, 0.8959126984126984, 0.8986904761904762, 0.8952380952380953, 0.8972222222222223, 0.8973015873015873]","[0.46659672260284424, 0.3202648460865021, 0.5467265844345093, 0.8069237470626831, 0.8667933344841003, 0.8935039043426514, 0.24847300350666046, 0.41345834732055664, 1.3459217548370361, 0.068163201212883]",DeepSets_NLL,DeepSets_NLL_seed47,deepsets,DeepSets,nll,NLL
47,FactorQuery_NLL+conformal90,0.8995873015873016,"[0.8998015873015873, 0.9072619047619047, 0.9010714285714285, 0.9032936507936508, 0.8979365079365079, 0.8944047619047619, 0.9030952380952381, 0.8981349206349206, 0.8961904761904762, 0.8946825396825396]","[0.5086454153060913, 0.3598777651786804, 0.6593030095100403, 0.8348312377929688, 0.8117682337760925, 0.8217425346374512, 0.31630921363830566, 0.4083464741706848, 0.47062885761260986, 0.18482501804828644]",FactorQuery_NLL,FactorQuery_NLL_seed47,factorquery,FactorQuery,nll,NLL
47,MeanPoolLinear_RESVAR+conformal90,0.8979206349206349,"[0.8953968253968254, 0.8952777777777777, 0.9003571428571429, 0.8976984126984127, 0.9003174603174603, 0.8932539682539683, 0.8981746031746032, 0.8959126984126984, 0.8985714285714286, 0.9042460317460318]","[0.8808204531669617, 0.6082445979118347, 0.9111196398735046, 0.9867309927940369, 1.0240753889083862, 0.9977223873138428, 0.6208891868591309, 0.5085707902908325, 0.8293701410293579, 0.790500283241272]",MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed47,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
47,MeanPoolMLP_RESVAR+conformal90,0.898952380952381,"[0.8983333333333333, 0.9026984126984127, 0.8958333333333334, 0.9005952380952381, 0.8965079365079365, 0.8980555555555556, 0.9031349206349206, 0.8911904761904762, 0.9015079365079365, 0.9016666666666666]","[0.586941123008728, 0.41041988134384155, 0.6048265099525452, 0.8113125562667847, 0.7971764802932739, 0.8808878064155579, 0.41096997261047363, 0.40076425671577454, 0.6715645790100098, 0.0686698853969574]",MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed47,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
47,FlatMLP_RESVAR+conformal90,0.8990238095238094,"[0.903531746031746, 0.9047222222222222, 0.8991269841269841, 0.901547619047619, 0.9002777777777777, 0.8983730158730159, 0.8929761904761905, 0.8925, 0.8996031746031746, 0.8975793650793651]","[0.3552151322364807, 0.2560066282749176, 0.3745121657848358, 0.5181049108505249, 0.4497660994529724, 0.5693600177764893, 0.20492760837078094, 0.379762202501297, 0.38873592019081116, 0.06894329190254211]",FlatMLP_RESVAR,FlatMLP_RESVAR_seed47,flatmlp,FlatMLP,residual_variance_reg,RESVAR
