seed,model,variant_type,corruption,severity,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag,nominal_level,coverage_pf_mean,coverage_pf,coverage_gap_abs_mean,interval_width_mean,interval_width_pf
45,DeepSets_NLL,predictive,gaussian_blur,1,0.3337107300758362,0.2539462447166443,-0.8780730366706848,0.13534016907215118,0.014881621114909649,0.014881621114909649,"[0.006086735520511866, 0.006357179488986731, 0.017743002623319626, 0.021189577877521515, 0.021206922829151154, 0.02062140591442585, 0.005804533138871193, 0.015530082397162914, 0.03002013824880123, 0.004256649874150753]","[[0.504960298538208, 0.7989285588264465, 0.8936904668807983, 0.9389682412147522], [0.4970238208770752, 0.793055534362793, 0.8873412609100342, 0.9358333349227905], [0.5241666436195374, 0.808571457862854, 0.8974206447601318, 0.9420238137245178], [0.546150803565979, 0.8165079355239868, 0.8980555534362793, 0.9403968453407288], [0.5532143115997314, 0.8204365372657776, 0.9018650650978088, 0.9417063593864441], [0.5028174519538879, 0.7969444394111633, 0.9061111211776733, 0.9562301635742188], [0.5260317325592041, 0.813531756401062, 0.8993650674819946, 0.9441666603088379], [0.4707539677619934, 0.7825000286102295, 0.897777795791626, 0.9547222256660461], [0.4767063558101654, 0.778849184513092, 0.8856745958328247, 0.9446428418159485], [0.4562698304653168, 0.7782142758369446, 0.8994840979576111, 0.952817440032959]]",DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,,,,,,
45,DeepSets_NLL+posthocT,predictive,gaussian_blur,1,0.3337107300758362,0.2539462447166443,-0.878337025642395,0.1376720517873764,0.014918319880962372,0.014918319880962372,"[0.0055388216860592365, 0.005418948829174042, 0.017345497384667397, 0.022446829825639725, 0.024168219417333603, 0.019981294870376587, 0.0058031887747347355, 0.014889550395309925, 0.02940743789076805, 0.004183406010270119]","[[0.5088492035865784, 0.8019841313362122, 0.8961507678031921, 0.9407142996788025], [0.5011507868766785, 0.7963888645172119, 0.8899602890014648, 0.9378174543380737], [0.5280555486679077, 0.8116666674613953, 0.8997222185134888, 0.9437698125839233], [0.5501587390899658, 0.8196825385093689, 0.9006349444389343, 0.9420635104179382], [0.5568650960922241, 0.823373019695282, 0.9040476083755493, 0.944007933139801], [0.5067063570022583, 0.8006349205970764, 0.9088095426559448, 0.9577777981758118], [0.5295634865760803, 0.8167063593864441, 0.9014682769775391, 0.946071445941925], [0.47428572177886963, 0.7861508131027222, 0.9009920358657837, 0.9568253755569458], [0.48031747341156006, 0.7830952405929565, 0.8890873193740845, 0.9466269612312317], [0.45948413014411926, 0.783214271068573, 0.9023412466049194, 0.9542063474655151]]",DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,,,,,,
45,DeepSets_NLL+pfT,predictive,gaussian_blur,1,0.3337107300758362,0.2539462447166443,-0.8784740329116739,0.13521190420512041,0.014463555999100208,0.014463555999100208,"[0.005486483685672283, 0.004253580700606108, 0.017543772235512733, 0.02021670900285244, 0.019135788083076477, 0.023081785067915916, 0.006205364596098661, 0.015342707745730877, 0.029370171949267387, 0.003999209031462669]","[[0.5093650817871094, 0.8023809790611267, 0.8963491916656494, 0.9409127235412598], [0.5144047737121582, 0.807539701461792, 0.8986111283302307, 0.9436110854148865], [0.5260714292526245, 0.8099603056907654, 0.8984127044677734, 0.9430952668190002], [0.5422618985176086, 0.8126190304756165, 0.8951587080955505, 0.9388889074325562], [0.5503174662590027, 0.8173412680625916, 0.8998809456825256, 0.9403968453407288], [0.4962698519229889, 0.789126992225647, 0.899920642375946, 0.9526190757751465], [0.5154365301132202, 0.8025000095367432, 0.8912301659584045, 0.9385714530944824], [0.4719841182231903, 0.7835317254066467, 0.8986904621124268, 0.9553174376487732], [0.49869048595428467, 0.8027380704879761, 0.9055555462837219, 0.9567460417747498], [0.4722222089767456, 0.799047589302063, 0.9130159020423889, 0.9601984024047852]]",DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,,,,,,
45,DeepSets_NLL+conformal90,interval,gaussian_blur,1,0.3337107300758362,0.2539462447166443,-0.8780730366706848,0.13534016907215118,0.014881621114909649,0.014881621114909649,"[0.006086735520511866, 0.006357179488986731, 0.017743002623319626, 0.021189577877521515, 0.021206922829151154, 0.02062140591442585, 0.005804533138871193, 0.015530082397162914, 0.03002013824880123, 0.004256649874150753]",,DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,0.9,0.8956904761904761,"[0.8880555555555556, 0.8930555555555556, 0.8961111111111111, 0.8963095238095238, 0.8967063492063492, 0.8964682539682539, 0.8837698412698413, 0.8982142857142857, 0.9048015873015873, 0.9034126984126984]",0.0059523809523809755,1.078290581703186,"[0.8957754373550415, 0.6408722996711731, 1.1313854455947876, 1.6120021343231201, 1.7329093217849731, 2.002641439437866, 0.49798327684402466, 0.823449969291687, 1.3082220554351807, 0.1391771286725998]"
45,DeepSets_NLL+cdfCal90,interval,gaussian_blur,1,0.3337107300758362,0.2539462447166443,-0.8780730366706848,0.13534016907215118,0.014881621114909649,0.014881621114909649,"[0.006086735520511866, 0.006357179488986731, 0.017743002623319626, 0.021189577877521515, 0.021206922829151154, 0.02062140591442585, 0.005804533138871193, 0.015530082397162914, 0.03002013824880123, 0.004256649874150753]",,DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,0.9,0.8963849206349208,"[0.8892857142857142, 0.8962698412698412, 0.8956746031746031, 0.8971031746031746, 0.8984126984126984, 0.8979761904761905, 0.8899603174603175, 0.8964285714285715, 0.9043650793650794, 0.8983730158730159]",0.004488095238095268,1.0329053762943519,"[0.8693252529454265, 0.6155097831400557, 1.0604589627668852, 1.5730711443747645, 1.6927285700605679, 1.9740772959781094, 0.48149392946555347, 0.7597055128959296, 1.2019570920709166, 0.10072621924532216]"
45,DeepSets_NLL+gaussSplitConf90,interval,gaussian_blur,1,0.3337107300758362,0.2539462447166443,-0.8780730366706848,0.13534016907215118,0.014881621114909649,0.014881621114909649,"[0.006086735520511866, 0.006357179488986731, 0.017743002623319626, 0.021189577877521515, 0.021206922829151154, 0.02062140591442585, 0.005804533138871193, 0.015530082397162914, 0.03002013824880123, 0.004256649874150753]",,DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,0.9,0.8999960317460317,"[0.8936904761904761, 0.8964285714285715, 0.897420634920635, 0.8980555555555556, 0.9018650793650793, 0.9061111111111111, 0.8993650793650794, 0.8977777777777778, 0.905, 0.9042460317460318]",0.003448412698412695,1.0547311238271364,"[0.8760186689387954, 0.6241774687619647, 1.0843719895869337, 1.5744305819141753, 1.7297524234658346, 2.0160062409424304, 0.5057853982722567, 0.7634294856489244, 1.2452592088013772, 0.1280797719386638]"
45,DeepSets_NLL,predictive,gaussian_blur,3,0.4491250514984131,0.3475934863090515,0.017210593447089195,0.13529910147190094,0.09322897344827652,0.09322897344827652,"[0.3978809714317322, 0.06601984798908234, 0.08901537209749222, 0.08143092691898346, 0.046203985810279846, 0.03079824708402157, 0.14244985580444336, 0.02639847807586193, 0.04566459357738495, 0.006427449639886618]","[[0.19658729434013367, 0.358690470457077, 0.4483333230018616, 0.5196825265884399], [0.3673412799835205, 0.633055567741394, 0.7488492131233215, 0.824920654296875], [0.398333340883255, 0.6726190447807312, 0.787579357624054, 0.8585317730903625], [0.4318253993988037, 0.7078174352645874, 0.8185714483261108, 0.8837698698043823], [0.4585714340209961, 0.758809506893158, 0.8649206161499023, 0.9204761981964111], [0.4678174555301666, 0.765753984451294, 0.8824999928474426, 0.942896842956543], [0.2698015868663788, 0.478214293718338, 0.5815873146057129, 0.6569047570228577], [0.43813490867614746, 0.7382539510726929, 0.8571825623512268, 0.9229364991188049], [0.4526587426662445, 0.7446428537368774, 0.8535714149475098, 0.9139682650566101], [0.43567460775375366, 0.7169444561004639, 0.834841251373291, 0.8996031880378723]]",DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,,,,,,
45,DeepSets_NLL+posthocT,predictive,gaussian_blur,3,0.4491250514984131,0.3475934863090515,0.0018735583871603012,0.13763025403022766,0.09105479717254639,0.09105479717254639,"[0.39606979489326477, 0.06472919136285782, 0.0867026299238205, 0.07816829532384872, 0.04255283251404762, 0.02660360373556614, 0.14140281081199646, 0.024830950424075127, 0.04324032738804817, 0.006247575394809246]","[[0.19900794327259064, 0.36146825551986694, 0.45126983523368835, 0.522777795791626], [0.37039682269096375, 0.6365873217582703, 0.7520238161087036, 0.8279761672019958], [0.40142858028411865, 0.6765079498291016, 0.7914682626724243, 0.8618254065513611], [0.4353174567222595, 0.7121428847312927, 0.8225793838500977, 0.8861111402511597], [0.4617460370063782, 0.7625396847724915, 0.8682936429977417, 0.9230555295944214], [0.471230149269104, 0.7703968286514282, 0.8854365348815918, 0.945277750492096], [0.27222222089767456, 0.4816666543483734, 0.5856349468231201, 0.6609523892402649], [0.441388875246048, 0.7420238256454468, 0.8609920740127563, 0.9258333444595337], [0.4560714364051819, 0.7479761838912964, 0.8566666841506958, 0.9164682626724243], [0.4391666650772095, 0.7211111187934875, 0.8382539749145508, 0.9030158519744873]]",DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,,,,,,
45,DeepSets_NLL+pfT,predictive,gaussian_blur,3,0.4491250514984131,0.3475934863090515,0.01428760525052972,0.13512054218954742,0.09267137944698334,0.09267137944698334,"[0.39583709836006165, 0.06056664139032364, 0.0878562331199646, 0.08512438088655472, 0.04934142157435417, 0.03858543187379837, 0.1457463502883911, 0.025939924642443657, 0.03206748515367508, 0.005648862570524216]","[[0.19920635223388672, 0.36194443702697754, 0.45178571343421936, 0.523373007774353], [0.3802380859851837, 0.6491666436195374, 0.7643253803253174, 0.8378174901008606], [0.40011903643608093, 0.674563467502594, 0.7894841432571411, 0.8604364991188049], [0.4276190400123596, 0.7036904692649841, 0.8149206638336182, 0.8805158734321594], [0.4557936489582062, 0.7553174495697021, 0.8620238304138184, 0.9186111092567444], [0.4605555534362793, 0.758809506893158, 0.8760714530944824, 0.9382539391517639], [0.26253968477249146, 0.4672222137451172, 0.5699206590652466, 0.6436111330986023], [0.4392460286617279, 0.7393254041671753, 0.858214259147644, 0.9238095283508301], [0.47428572177886963, 0.7676984071731567, 0.8732539415359497, 0.9277777671813965], [0.4493650794029236, 0.7359523773193359, 0.8491269946098328, 0.9109126925468445]]",DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,,,,,,
45,DeepSets_NLL+conformal90,interval,gaussian_blur,3,0.4491250514984131,0.3475934863090515,0.017210593447089195,0.13529910147190094,0.09322897344827652,0.09322897344827652,"[0.3978809714317322, 0.06601984798908234, 0.08901537209749222, 0.08143092691898346, 0.046203985810279846, 0.03079824708402157, 0.14244985580444336, 0.02639847807586193, 0.04566459357738495, 0.006427449639886618]",,DeepSets_NLL,DeepSets_NLL_seed45,deepsets,DeepSets,nll,NLL,0.9,0.7817261904761904,"[0.4684126984126984, 0.7727380952380952, 0.7946825396825397, 0.8338095238095238, 0.8598412698412699, 0.8746031746031746, 0.5851190476190476, 0.8764285714285714, 0.8775, 0.8741269841269841]",0.11827380952380957,1.078290581703186,"[0.8957754373550415, 0.6408722996711731, 1.1313854455947876, 1.6120021343231201, 1.7329093217849731, 2.002641439437866, 0.49798327684402466, 0.823449969291687, 1.3082220554351807, 0.1391771286725998]"
