factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.37375423312187195,0.29022932052612305,-0.813517153263092,0.18719051778316498,0.023294851183891296,0.023294851183891296,"[0.01813008263707161, 0.010985137894749641, 0.029505809769034386, 0.02640686184167862, 0.026022672653198242, 0.032759346067905426, 0.015618129633367062, 0.0226735919713974, 0.045791227370500565, 0.005055650603026152]","[[0.5210317373275757, 0.809920608997345, 0.9103174805641174, 0.949999988079071], [0.4821428656578064, 0.7829365134239197, 0.879365086555481, 0.9317460060119629], [0.5626984238624573, 0.8317460417747498, 0.9095237851142883, 0.9460317492485046], [0.5607143044471741, 0.8281745910644531, 0.9031745791435242, 0.940079391002655], [0.4988095164299011, 0.7869047522544861, 0.882539689540863, 0.938095211982727], [0.5095238089561462, 0.7936508059501648, 0.8920634984970093, 0.9464285969734192], [0.44999998807907104, 0.7412698268890381, 0.8496031761169434, 0.9166666865348816], [0.46269840002059937, 0.7626984119415283, 0.8908730149269104, 0.9575396776199341], [0.44007936120033264, 0.7940475940704346, 0.934920608997345, 0.9845238327980042], [0.45396825671195984, 0.7924603223800659, 0.928174614906311, 0.9702380895614624]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
0,hi10,2520,0.3836633563041687,0.2968364357948303,-0.7511926293373108,0.18164880573749542,0.021363604813814163,0.021363604813814163,"[0.027294106781482697, 0.014254516921937466, 0.016156651079654694, 0.019943291321396828, 0.033395618200302124, 0.02581440843641758, 0.009607397019863129, 0.018271291628479958, 0.04515596106648445, 0.0037428108043968678]","[[0.46666666865348816, 0.7674603462219238, 0.8694444298744202, 0.9210317730903625], [0.4753968119621277, 0.7615079283714294, 0.8686507940292358, 0.9238095283508301], [0.5039682388305664, 0.7988095283508301, 0.886904776096344, 0.9345238208770752], [0.5166666507720947, 0.8115079402923584, 0.8960317373275757, 0.9329364895820618], [0.5083333253860474, 0.7976190447807312, 0.8865079283714294, 0.9313492178916931], [0.5, 0.7749999761581421, 0.8841269612312317, 0.9388889074325562], [0.5087301731109619, 0.795634925365448, 0.8908730149269104, 0.9333333373069763], [0.4742063581943512, 0.7722222208976746, 0.891269862651825, 0.9456349015235901], [0.44007936120033264, 0.7785714268684387, 0.9321428537368774, 0.9777777791023254], [0.4337301552295685, 0.7634920477867126, 0.8761904835700989, 0.9373015761375427]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
1,lo10,2520,0.37378233671188354,0.2898216247558594,-0.7860541939735413,0.18042568862438202,0.023569952696561813,0.023569952696561813,"[0.01443417090922594, 0.03691623732447624, 0.020259950309991837, 0.02779153548181057, 0.02827741764485836, 0.020172791555523872, 0.011804656125605106, 0.01801592856645584, 0.0543086901307106, 0.0037181475199759007]","[[0.488095223903656, 0.7900793552398682, 0.8876984119415283, 0.9357143044471741], [0.39841270446777344, 0.7166666388511658, 0.8416666388511658, 0.9067460298538208], [0.5420634746551514, 0.8253968358039856, 0.9079365134239197, 0.9515873193740845], [0.5492063760757446, 0.8305555582046509, 0.9059523940086365, 0.9408730268478394], [0.5269841551780701, 0.8146825432777405, 0.8996031880378723, 0.9440476298332214], [0.5269841551780701, 0.7884920835494995, 0.8853174448013306, 0.938095211982727], [0.4849206209182739, 0.7674603462219238, 0.8670634627342224, 0.9214285612106323], [0.46666666865348816, 0.7821428775787354, 0.9079365134239197, 0.9634920358657837], [0.4218254089355469, 0.7710317373275757, 0.9329364895820618, 0.9861111044883728], [0.4670634865760803, 0.8003968000411987, 0.9119047522544861, 0.9603174328804016]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
1,hi10,2520,0.3608166575431824,0.27759549021720886,-0.8555624485015869,0.17025505006313324,0.02054460532963276,0.02054460532963276,"[0.012252519838511944, 0.016390373930335045, 0.027339456602931023, 0.02622178941965103, 0.03289887309074402, 0.025017136707901955, 0.008338016457855701, 0.013109279796481133, 0.03890378028154373, 0.004974823910742998]","[[0.494047611951828, 0.7892857193946838, 0.8952381014823914, 0.936904788017273], [0.5079365372657776, 0.8023809790611267, 0.9027777910232544, 0.9484127163887024], [0.5091269612312317, 0.791269838809967, 0.8821428418159485, 0.9297618865966797], [0.5472221970558167, 0.8154761791229248, 0.8996031880378723, 0.9341269731521606], [0.5321428775787354, 0.8011904954910278, 0.8876984119415283, 0.9341269731521606], [0.49166667461395264, 0.7781745791435242, 0.8734126687049866, 0.9329364895820618], [0.507539689540863, 0.8019841313362122, 0.8884920477867126, 0.938095211982727], [0.4742063581943512, 0.7916666865348816, 0.9015873074531555, 0.9511904716491699], [0.44404762983322144, 0.7765873074531555, 0.9253968000411987, 0.9773809313774109], [0.4769841134548187, 0.7980158925056458, 0.9027777910232544, 0.9547619223594666]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
2,lo10,2520,0.37716370820999146,0.29181334376335144,-0.783683180809021,0.18224698305130005,0.02261996828019619,0.02261996828019619,"[0.02038443647325039, 0.020205920562148094, 0.03459785878658295, 0.021130120381712914, 0.023655304685235023, 0.03492210805416107, 0.013798610307276249, 0.013056611642241478, 0.03822280839085579, 0.006225919350981712]","[[0.48174601793289185, 0.7666666507720947, 0.8626984357833862, 0.9230158925056458], [0.4575396776199341, 0.7476190328598022, 0.8559523820877075, 0.920634925365448], [0.5150793790817261, 0.7908729910850525, 0.8817460536956787, 0.9246031641960144], [0.5186507701873779, 0.8059523701667786, 0.8920634984970093, 0.9341269731521606], [0.5341269969940186, 0.8309524059295654, 0.9103174805641174, 0.9507936239242554], [0.49761903285980225, 0.7845237851142883, 0.8833333253860474, 0.9345238208770752], [0.46984127163887024, 0.7599206566810608, 0.8603174686431885, 0.9170634746551514], [0.4900793731212616, 0.7833333611488342, 0.8964285850524902, 0.9591270089149475], [0.4591269791126251, 0.7960317730903625, 0.932539701461792, 0.980555534362793], [0.42698413133621216, 0.773809552192688, 0.8904761672019958, 0.9515873193740845]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
2,hi10,2520,0.4217875003814697,0.33011025190353394,-0.6576266288757324,0.1992754489183426,0.035681989043951035,0.035681989043951035,"[0.02790440246462822, 0.019963687285780907, 0.08471179008483887, 0.03369127959012985, 0.04874499887228012, 0.03180710971355438, 0.023447895422577858, 0.021317653357982635, 0.06091170012950897, 0.004319407045841217]","[[0.47261905670166016, 0.7623015642166138, 0.8662698268890381, 0.9226190447807312], [0.4769841134548187, 0.7658730149269104, 0.8611111044883728, 0.916269838809967], [0.3928571343421936, 0.6888889074325562, 0.807539701461792, 0.8789682388305664], [0.5222222208976746, 0.7936508059501648, 0.8757936358451843, 0.9305555820465088], [0.4575396776199341, 0.7492063641548157, 0.8623015880584717, 0.9214285612106323], [0.4761904776096344, 0.7753968238830566, 0.8904761672019958, 0.9440476298332214], [0.47579365968704224, 0.761904776096344, 0.8567460179328918, 0.9119047522544861], [0.47976189851760864, 0.7928571701049805, 0.9035714268684387, 0.9476190209388733], [0.414682537317276, 0.7670634984970093, 0.9246031641960144, 0.9817460179328918], [0.5091269612312317, 0.8242063522338867, 0.9210317730903625, 0.966269850730896]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
3,lo10,2520,0.40992483496665955,0.323185533285141,-0.6966829299926758,0.16884730756282806,0.055318016558885574,0.055318016558885574,"[0.019653016701340675, 0.012597539462149143, 0.08757218718528748, 0.22159971296787262, 0.07450222223997116, 0.07500538975000381, 0.007180871441960335, 0.014263732358813286, 0.03681793063879013, 0.003987571690231562]","[[0.4793650805950165, 0.7615079283714294, 0.8694444298744202, 0.9226190447807312], [0.48373016715049744, 0.7722222208976746, 0.8658730387687683, 0.9234126806259155], [0.3956349194049835, 0.6742063760757446, 0.7884920835494995, 0.8603174686431885], [0.2845238149166107, 0.5642856955528259, 0.7095237970352173, 0.7972221970558167], [0.4571428596973419, 0.745634913444519, 0.8484126925468445, 0.9075396656990051], [0.4055555462837219, 0.7063491940498352, 0.8365079164505005, 0.9182539582252502], [0.48849207162857056, 0.788095235824585, 0.8773809671401978, 0.9365079402923584], [0.4730158746242523, 0.7888888716697693, 0.898809552192688, 0.9563491940498352], [0.4373015761375427, 0.7833333611488342, 0.9285714030265808, 0.9813492298126221], [0.494047611951828, 0.8126984238624573, 0.9198412895202637, 0.9599206447601318]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
3,hi10,2520,0.43247777223587036,0.34391099214553833,-0.6342571377754211,0.21487285196781158,0.043749984353780746,0.043749984353780746,"[0.025033868849277496, 0.01975114829838276, 0.03371642529964447, 0.19342878460884094, 0.032175760716199875, 0.05089980736374855, 0.008066035807132721, 0.021358145400881767, 0.049468912184238434, 0.0036009910982102156]","[[0.49761903285980225, 0.7869047522544861, 0.8809523582458496, 0.9321428537368774], [0.4623015820980072, 0.7757936716079712, 0.8690476417541504, 0.9230158925056458], [0.4682539701461792, 0.7571428418159485, 0.8595238327980042, 0.9146825671195984], [0.2769841253757477, 0.6146825551986694, 0.7682539820671082, 0.8579365015029907], [0.523809552192688, 0.7984126806259155, 0.8992063403129578, 0.9476190209388733], [0.48849207162857056, 0.7496031522750854, 0.8619047403335571, 0.9226190447807312], [0.49444442987442017, 0.7936508059501648, 0.8928571343421936, 0.9404761791229248], [0.47460317611694336, 0.7829365134239197, 0.8999999761581421, 0.9634920358657837], [0.4357142746448517, 0.7849206328392029, 0.9333333373069763, 0.9896825551986694], [0.4345238208770752, 0.7896825671195984, 0.9055555462837219, 0.9551587104797363]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
4,lo10,2520,0.4204128384590149,0.33715540170669556,-0.6888967752456665,0.1707334816455841,0.07007963955402374,0.07007963955402374,"[0.013356257230043411, 0.01380182709544897, 0.041727062314748764, 0.07343780994415283, 0.3899400234222412, 0.09916318953037262, 0.007096547167748213, 0.01670120842754841, 0.04017745703458786, 0.00539503013715148]","[[0.5321428775787354, 0.8178571462631226, 0.904365062713623, 0.9484127163887024], [0.47380951046943665, 0.7642857432365417, 0.8734126687049866, 0.9301587343215942], [0.4595237970352173, 0.7658730149269104, 0.8718253970146179, 0.9285714030265808], [0.42103174328804016, 0.692460298538208, 0.8103174567222595, 0.8757936358451843], [0.11349206417798996, 0.3960317373275757, 0.6126984357833862, 0.7555555701255798], [0.4119047522544861, 0.6742063760757446, 0.8023809790611267, 0.8829365372657776], [0.5206349492073059, 0.8067460060119629, 0.8928571343421936, 0.9376984238624573], [0.48452380299568176, 0.7908729910850525, 0.8980158567428589, 0.9579365253448486], [0.4432539641857147, 0.7813491821289062, 0.9238095283508301, 0.9825396537780762], [0.46865078806877136, 0.7908729910850525, 0.9075396656990051, 0.9611111283302307]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
4,hi10,2520,0.39272961020469666,0.31441131234169006,-0.7790341973304749,0.1890435516834259,0.040588829666376114,0.040588829666376114,"[0.012240294367074966, 0.010083575733006, 0.027244729921221733, 0.04142029210925102, 0.20518936216831207, 0.03345870599150658, 0.005266574677079916, 0.013023780658841133, 0.053064968436956406, 0.00489598186686635]","[[0.5246031880378723, 0.807539701461792, 0.891269862651825, 0.932539701461792], [0.5174603462219238, 0.8083333373069763, 0.898809552192688, 0.9484127163887024], [0.5309523940086365, 0.8162698149681091, 0.9063491821289062, 0.9492063522338867], [0.47579365968704224, 0.761904776096344, 0.8623015880584717, 0.9170634746551514], [0.244047611951828, 0.6345238089561462, 0.8083333373069763, 0.8861111402511597], [0.4813492000102997, 0.7742063403129578, 0.8845238089561462, 0.9436507821083069], [0.511904776096344, 0.815079391002655, 0.9039682745933533, 0.9476190209388733], [0.48769840598106384, 0.7924603223800659, 0.908730149269104, 0.9579365253448486], [0.43690475821495056, 0.7924603223800659, 0.9317460060119629, 0.9849206209182739], [0.44087302684783936, 0.7825396656990051, 0.9059523940086365, 0.9603174328804016]]",46,DeepSets_NLL,DeepSets_NLL,DeepSets_NLL_seed46,deepsets,DeepSets,nll,NLL
