seed,model,epoch,train_loss,val_loss,val_nll,best_val,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
45,DeepSets_RESVAR,1,0.16484043081759145,-0.0977197727892134,-0.3672638769376846,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,2,-0.1797851384548073,-0.2387575460426391,-0.47796551218108524,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,3,-0.32339271703725136,-0.36038511497633796,-0.5716425788970221,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,4,-0.4213114022283537,-0.459709949114966,-0.6548144667489189,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,5,-0.483581094611469,-0.5200121853843568,-0.7036195085919092,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,6,-0.5448237574878403,-0.5714465130700005,-0.7389625557263693,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,7,-0.649261985132093,-0.6955087320388309,-0.8240003358371674,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,8,-0.7547792994198135,-0.7733604765695239,-0.8924394885320512,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,9,-0.8062753844092972,-0.8140597593595111,-0.9264391836287483,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
45,DeepSets_RESVAR,10,-0.8442135362440106,-0.8514834399450393,-0.9573596065385,-0.9573596065385,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
