factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.30509039759635925,0.22940020263195038,-0.9571524858474731,0.09403934329748154,0.023443425074219704,0.023443425074219704,"[0.03342464566230774, 0.01102373469620943, 0.034816186875104904, 0.04017936810851097, 0.025510132312774658, 0.03914777562022209, 0.006312611047178507, 0.020906519144773483, 0.018933139741420746, 0.004180134739726782]","[[0.4821428656578064, 0.7960317730903625, 0.8876984119415283, 0.9305555820465088], [0.5448412895202637, 0.8238095045089722, 0.9123015999794006, 0.9551587104797363], [0.47182539105415344, 0.7623015642166138, 0.8757936358451843, 0.9309523701667786], [0.5083333253860474, 0.7869047522544861, 0.8761904835700989, 0.9230158925056458], [0.5023809671401978, 0.7781745791435242, 0.870634913444519, 0.9253968000411987], [0.5019841194152832, 0.7654761672019958, 0.8722222447395325, 0.9238095283508301], [0.5226190686225891, 0.8011904954910278, 0.8936507701873779, 0.9416666626930237], [0.43492063879966736, 0.7460317611694336, 0.8809523582458496, 0.9476190209388733], [0.5103174448013306, 0.7984126806259155, 0.8964285850524902, 0.946825385093689], [0.4218254089355469, 0.7670634984970093, 0.8948412537574768, 0.9460317492485046]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
0,hi10,2520,0.32095205783843994,0.2407638281583786,-0.8658989071846008,0.09900631010532379,0.022673508152365685,0.022673508152365685,"[0.03302166610956192, 0.008274324238300323, 0.02215840108692646, 0.0344310998916626, 0.02797539345920086, 0.03831494599580765, 0.01954548992216587, 0.02047831192612648, 0.019417397677898407, 0.003118030959740281]","[[0.45992064476013184, 0.7650793790817261, 0.8650793433189392, 0.9246031641960144], [0.4781745970249176, 0.7873015999794006, 0.8845238089561462, 0.9361110925674438], [0.47460317611694336, 0.773809552192688, 0.8690476417541504, 0.9246031641960144], [0.4928571283817291, 0.7785714268684387, 0.8662698268890381, 0.9134920835494995], [0.5027777552604675, 0.7924603223800659, 0.8857142925262451, 0.932539701461792], [0.4761904776096344, 0.7571428418159485, 0.8603174686431885, 0.9218254089355469], [0.4690476059913635, 0.745634913444519, 0.8523809313774109, 0.9091269969940186], [0.45079365372657776, 0.7551587224006653, 0.8718253970146179, 0.9333333373069763], [0.5063492059707642, 0.7900793552398682, 0.8821428418159485, 0.9361110925674438], [0.47460317611694336, 0.7964285612106323, 0.9027777910232544, 0.946825385093689]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
1,lo10,2520,0.30487513542175293,0.22736644744873047,-0.9269542694091797,0.09004837274551392,0.022035110741853714,0.022035110741853714,"[0.023892760276794434, 0.01551668718457222, 0.015595821663737297, 0.036848969757556915, 0.020322801545262337, 0.0366583950817585, 0.017971165478229523, 0.022959640249609947, 0.02692229487001896, 0.0036625629290938377]","[[0.47182539105415344, 0.7781745791435242, 0.8813492059707642, 0.932539701461792], [0.5273809432983398, 0.8380952477455139, 0.920634925365448, 0.958730161190033], [0.4952380955219269, 0.7972221970558167, 0.8932539820671082, 0.9396825432777405], [0.5071428418159485, 0.7865079641342163, 0.8777777552604675, 0.916269838809967], [0.5404762029647827, 0.8011904954910278, 0.8829365372657776, 0.9265872836112976], [0.49444442987442017, 0.77182537317276, 0.8638888597488403, 0.913095235824585], [0.45674604177474976, 0.7357142567634583, 0.8388888835906982, 0.9027777910232544], [0.4325396716594696, 0.7519841194152832, 0.8821428418159485, 0.9488095045089722], [0.47460317611694336, 0.7587301731109619, 0.8638888597488403, 0.9273809790611267], [0.4523809552192688, 0.7785714268684387, 0.9027777910232544, 0.9476190209388733]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
1,hi10,2520,0.2975313067436218,0.22282056510448456,-0.9635332226753235,0.08505372703075409,0.021420827135443687,0.021420827135443687,"[0.01414700597524643, 0.014857196249067783, 0.02555537410080433, 0.03692622482776642, 0.026966989040374756, 0.04689832031726837, 0.014300207607448101, 0.016651054844260216, 0.014708203263580799, 0.003197693033143878]","[[0.4920634925365448, 0.7734127044677734, 0.8746031522750854, 0.9293650984764099], [0.4948412775993347, 0.7928571701049805, 0.8833333253860474, 0.9420635104179382], [0.4753968119621277, 0.7742063403129578, 0.8801587224006653, 0.9309523701667786], [0.4650793671607971, 0.7583333253860474, 0.85317462682724, 0.9126983880996704], [0.523809552192688, 0.7896825671195984, 0.8753968477249146, 0.9214285612106323], [0.46666666865348816, 0.7547619342803955, 0.8591269850730896, 0.9142857193946838], [0.47380951046943665, 0.7535714507102966, 0.8595238327980042, 0.9182539582252502], [0.4535714387893677, 0.7555555701255798, 0.8769841194152832, 0.9333333373069763], [0.49563491344451904, 0.7861111164093018, 0.8980158567428589, 0.9503968358039856], [0.4821428656578064, 0.8015872836112976, 0.9079365134239197, 0.9496031999588013]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
2,lo10,2520,0.313225656747818,0.23525455594062805,-0.9196600914001465,0.09212999045848846,0.027853205800056458,0.027853205800056458,"[0.017837047576904297, 0.011470277793705463, 0.06853260099887848, 0.04356616735458374, 0.031927112489938736, 0.051341697573661804, 0.010365256108343601, 0.021758252754807472, 0.017098303884267807, 0.0046353647485375404]","[[0.4980158805847168, 0.783730149269104, 0.8781746029853821, 0.9313492178916931], [0.507539689540863, 0.7924603223800659, 0.8892857432365417, 0.9388889074325562], [0.4305555522441864, 0.7091270089149475, 0.8071428537368774, 0.8805555701255798], [0.46071428060531616, 0.7535714507102966, 0.8515872955322266, 0.9111111164093018], [0.5178571343421936, 0.7841269969940186, 0.8789682388305664, 0.9238095283508301], [0.5003968477249146, 0.7682539820671082, 0.8650793433189392, 0.9170634746551514], [0.4908730089664459, 0.7730158567428589, 0.8718253970146179, 0.9265872836112976], [0.4416666626930237, 0.7476190328598022, 0.8650793433189392, 0.9301587343215942], [0.4980158805847168, 0.7904762029647827, 0.891269862651825, 0.9488095045089722], [0.5019841194152832, 0.8226190209388733, 0.920634925365448, 0.9591270089149475]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
2,hi10,2520,0.3561709523200989,0.26947271823883057,-0.7505326271057129,0.10729771107435226,0.03728397935628891,0.03728397935628891,"[0.0397765077650547, 0.011432979255914688, 0.06649798899888992, 0.05206447094678879, 0.07368817180395126, 0.04759552329778671, 0.025745905935764313, 0.02153421752154827, 0.029676292091608047, 0.004827743861824274]","[[0.4555555582046509, 0.7408730387687683, 0.8468254208564758, 0.9099206328392029], [0.4873015880584717, 0.7849206328392029, 0.8801587224006653, 0.9246031641960144], [0.4253968298435211, 0.6940476298332214, 0.8107143044471741, 0.8853174448013306], [0.46468254923820496, 0.7448412775993347, 0.8500000238418579, 0.9047619104385376], [0.4273809492588043, 0.7250000238418579, 0.8313491940498352, 0.9015873074531555], [0.45595237612724304, 0.7452380657196045, 0.8623015880584717, 0.9234126806259155], [0.454365074634552, 0.7563492059707642, 0.8567460179328918, 0.9051587581634521], [0.4476190507411957, 0.7531746029853821, 0.867460310459137, 0.9317460060119629], [0.4968253970146179, 0.791269838809967, 0.8853174448013306, 0.9376984238624573], [0.43214285373687744, 0.75, 0.8809523582458496, 0.9365079402923584]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
3,lo10,2520,0.33716726303100586,0.2569809556007385,-0.8134904503822327,0.08640515804290771,0.05138983577489853,0.05138983577489853,"[0.024099931120872498, 0.010877059772610664, 0.06595423072576523, 0.20714719593524933, 0.06916987895965576, 0.09155970066785812, 0.009652837179601192, 0.015505005605518818, 0.016843248158693314, 0.0030893245711922646]","[[0.48055556416511536, 0.7710317373275757, 0.858730137348175, 0.9146825671195984], [0.4861111044883728, 0.7865079641342163, 0.8757936358451843, 0.9293650984764099], [0.41904762387275696, 0.7007936239242554, 0.811904788017273, 0.8809523582458496], [0.3242063522338867, 0.557539701461792, 0.6785714030265808, 0.7722222208976746], [0.4714285731315613, 0.7515873312950134, 0.8400793671607971, 0.8972222208976746], [0.39920634031295776, 0.6841269731521606, 0.8103174567222595, 0.8884920477867126], [0.4912698268890381, 0.7833333611488342, 0.8821428418159485, 0.9337301850318909], [0.45992064476013184, 0.7563492059707642, 0.8726190328598022, 0.9384920597076416], [0.5103174448013306, 0.8035714030265808, 0.894444465637207, 0.9535714387893677], [0.4833333194255829, 0.8158730268478394, 0.920634925365448, 0.9615079164505005]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
3,hi10,2520,0.36523592472076416,0.28357747197151184,-0.750413179397583,0.11198590695858002,0.05256902053952217,0.05256902053952217,"[0.027929728850722313, 0.014071851968765259, 0.05372196063399315, 0.23947852849960327, 0.04289606213569641, 0.08307648450136185, 0.011247683316469193, 0.024331485852599144, 0.02473328821361065, 0.004203131888061762]","[[0.49563491344451904, 0.7817460298538208, 0.8769841194152832, 0.9329364895820618], [0.4968253970146179, 0.7892857193946838, 0.8841269612312317, 0.9392856955528259], [0.44801586866378784, 0.7539682388305664, 0.8496031761169434, 0.9003968238830566], [0.2341269850730896, 0.5253968238830566, 0.6742063760757446, 0.7753968238830566], [0.47857141494750977, 0.7607142925262451, 0.8583333492279053, 0.9095237851142883], [0.44801586866378784, 0.7015873193740845, 0.8178571462631226, 0.8884920477867126], [0.4900793731212616, 0.7773809432983398, 0.8797619342803955, 0.9309523701667786], [0.4353174567222595, 0.7496031522750854, 0.8813492059707642, 0.9452381134033203], [0.5103174448013306, 0.8111110925674438, 0.9083333611488342, 0.9559524059295654], [0.4753968119621277, 0.809920608997345, 0.9126983880996704, 0.9551587104797363]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
4,lo10,2520,0.3393082916736603,0.258945494890213,-0.8133805990219116,0.0825447216629982,0.058638375252485275,0.058638375252485275,"[0.010922249406576157, 0.010705281049013138, 0.03172450140118599, 0.11033664643764496, 0.2465163916349411, 0.12283429503440857, 0.008383105508983135, 0.021185163408517838, 0.018976127728819847, 0.0048000384122133255]","[[0.5111111402511597, 0.788095235824585, 0.8857142925262451, 0.9297618865966797], [0.5103174448013306, 0.8051587343215942, 0.8908730149269104, 0.9432539939880371], [0.4849206209182739, 0.7634920477867126, 0.8710317611694336, 0.9261904954910278], [0.3722222149372101, 0.632539689540863, 0.7432539463043213, 0.829365074634552], [0.26428571343421936, 0.5273809432983398, 0.6746031641960144, 0.7714285850524902], [0.3936507999897003, 0.6404761672019958, 0.7682539820671082, 0.8500000238418579], [0.507539689540863, 0.7924603223800659, 0.8892857432365417, 0.9408730268478394], [0.44404762983322144, 0.7603174448013306, 0.8841269612312317, 0.9420635104179382], [0.4992063343524933, 0.795634925365448, 0.894444465637207, 0.946825385093689], [0.45198413729667664, 0.7789682745933533, 0.89682537317276, 0.949999988079071]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
4,hi10,2520,0.32655853033065796,0.25073733925819397,-0.897282063961029,0.09609250724315643,0.043489955365657806,0.043489955365657806,"[0.014510069973766804, 0.01606721058487892, 0.030395744368433952, 0.07790743559598923, 0.1753564327955246, 0.07292121648788452, 0.005499490536749363, 0.018054263666272163, 0.02017771452665329, 0.004010000266134739]","[[0.5388888716697693, 0.8226190209388733, 0.8948412537574768, 0.9448412656784058], [0.5638889074325562, 0.8452380895614624, 0.9198412895202637, 0.9563491940498352], [0.5269841551780701, 0.8222222328186035, 0.89682537317276, 0.9472222328186035], [0.4357142746448517, 0.7146825194358826, 0.8230158686637878, 0.8841269612312317], [0.31111112236976624, 0.6083333492279053, 0.754365086555481, 0.8424603343009949], [0.42301586270332336, 0.7107142806053162, 0.8222222328186035, 0.8984127044677734], [0.5249999761581421, 0.7972221970558167, 0.8857142925262451, 0.9345238208770752], [0.4611110985279083, 0.773809552192688, 0.8813492059707642, 0.9353174567222595], [0.5067460536956787, 0.7817460298538208, 0.8833333253860474, 0.9353174567222595], [0.45992064476013184, 0.7900793552398682, 0.9063491821289062, 0.9575396776199341]]",45,DeepSets_RESVAR,DeepSets_RESVAR,DeepSets_RESVAR_seed45,deepsets,DeepSets,residual_variance_reg,RESVAR
