factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.3324403166770935,0.2520749568939209,-0.8421306610107422,0.12753339111804962,0.025099972262978554,0.025099972262978554,"[0.03373808413743973, 0.010400508530437946, 0.023712219670414925, 0.02903084084391594, 0.03452292084693909, 0.040542665868997574, 0.011609991081058979, 0.021032726392149925, 0.03641941770911217, 0.009990341030061245]","[[0.574999988079071, 0.8496031761169434, 0.9376984238624573, 0.9714285731315613], [0.49047619104385376, 0.7928571701049805, 0.8873015642166138, 0.9365079402923584], [0.4841269850730896, 0.7984126806259155, 0.8999999761581421, 0.9444444179534912], [0.5007936358451843, 0.7849206328392029, 0.8952381014823914, 0.9436507821083069], [0.488095223903656, 0.7936508059501648, 0.8908730149269104, 0.9384920597076416], [0.4623015820980072, 0.7519841194152832, 0.8654761910438538, 0.9277777671813965], [0.5464285612106323, 0.8476190567016602, 0.9297618865966797, 0.9658730030059814], [0.44841268658638, 0.7476190328598022, 0.8646825551986694, 0.9353174567222595], [0.5484126806259155, 0.8535714149475098, 0.9238095283508301, 0.9630952477455139], [0.32896825671195984, 0.6785714030265808, 0.8345237970352173, 0.9158729910850525]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
0,hi10,2520,0.362663209438324,0.2722874581813812,-0.7394237518310547,0.14214113354682922,0.0215765293687582,0.0215765293687582,"[0.013606434687972069, 0.017636852338910103, 0.024940546602010727, 0.03663286566734314, 0.022256983444094658, 0.03869679197669029, 0.007983505725860596, 0.025670209899544716, 0.021984871476888657, 0.006356241647154093]","[[0.5003968477249146, 0.8083333373069763, 0.9115079641342163, 0.9567460417747498], [0.4714285731315613, 0.761904776096344, 0.8607142567634583, 0.9142857193946838], [0.4900793731212616, 0.7789682745933533, 0.8821428418159485, 0.9341269731521606], [0.47579365968704224, 0.7896825671195984, 0.8976190686225891, 0.9444444179534912], [0.5027777552604675, 0.7992063760757446, 0.9027777910232544, 0.9484127163887024], [0.4714285731315613, 0.7690476179122925, 0.8714285492897034, 0.9253968000411987], [0.4968253970146179, 0.7908729910850525, 0.8892857432365417, 0.9337301850318909], [0.4511904716491699, 0.7396825551986694, 0.8535714149475098, 0.9119047522544861], [0.5321428775787354, 0.8007936477661133, 0.8896825313568115, 0.9396825432777405], [0.44087302684783936, 0.7531746029853821, 0.8638888597488403, 0.9257936477661133]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
1,lo10,2520,0.34568625688552856,0.2568966746330261,-0.7937285900115967,0.13138632476329803,0.020806651562452316,0.020806651562452316,"[0.02847626805305481, 0.011329126544296741, 0.022313077002763748, 0.037362564355134964, 0.026125818490982056, 0.027664843946695328, 0.009820415638387203, 0.01906990446150303, 0.012706281617283821, 0.013198211789131165]","[[0.5563492178916931, 0.8436508178710938, 0.934920608997345, 0.9710317254066467], [0.5123015642166138, 0.7948412895202637, 0.891269862651825, 0.9365079402923584], [0.5079365372657776, 0.8091269731521606, 0.9003968238830566, 0.9480158686637878], [0.4773809611797333, 0.7813491821289062, 0.8904761672019958, 0.9408730268478394], [0.5345237851142883, 0.8321428298950195, 0.9150793552398682, 0.949999988079071], [0.507539689540863, 0.7813491821289062, 0.8853174448013306, 0.928174614906311], [0.5289682745933533, 0.8206349015235901, 0.9071428775787354, 0.9492063522338867], [0.454365074634552, 0.7555555701255798, 0.8658730387687683, 0.9293650984764099], [0.516269862651825, 0.8015872836112976, 0.8904761672019958, 0.9392856955528259], [0.32896825671195984, 0.6678571701049805, 0.8123015761375427, 0.8865079283714294]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
1,hi10,2520,0.3223430812358856,0.242135688662529,-0.8885686993598938,0.11798866838216782,0.02422749623656273,0.02422749623656273,"[0.022853968665003777, 0.016599539667367935, 0.02265840768814087, 0.03795674815773964, 0.026571068912744522, 0.041764035820961, 0.009043361060321331, 0.023771293461322784, 0.03640677407383919, 0.004649767652153969]","[[0.5436508059501648, 0.8285714387893677, 0.9178571701049805, 0.9607142806053162], [0.4912698268890381, 0.7789682745933533, 0.8873015642166138, 0.9309523701667786], [0.4849206209182739, 0.7865079641342163, 0.8829365372657776, 0.940079391002655], [0.5214285850524902, 0.8269841074943542, 0.9198412895202637, 0.9583333134651184], [0.49444442987442017, 0.7972221970558167, 0.8960317373275757, 0.9412698149681091], [0.4595237970352173, 0.7420634627342224, 0.8547618985176086, 0.9257936477661133], [0.541269838809967, 0.8182539939880371, 0.9067460298538208, 0.9496031999588013], [0.4384920597076416, 0.7436507940292358, 0.8646825551986694, 0.9285714030265808], [0.5289682745933533, 0.8134920597076416, 0.9067460298538208, 0.9484127163887024], [0.5039682388305664, 0.8170635104179382, 0.908730149269104, 0.9507936239242554]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
2,lo10,2520,0.35633212327957153,0.26926693320274353,-0.7851712703704834,0.13802926242351532,0.034218043088912964,0.034218043088912964,"[0.016421152278780937, 0.024207664653658867, 0.13966192305088043, 0.030944231897592545, 0.026754330843687057, 0.022870471701025963, 0.005937318317592144, 0.01906285621225834, 0.04741409420967102, 0.008906401693820953]","[[0.5273809432983398, 0.8190476298332214, 0.9182539582252502, 0.9595237970352173], [0.45396825671195984, 0.7388888597488403, 0.851190447807312, 0.9103174805641174], [0.3166666626930237, 0.613095223903656, 0.7726190686225891, 0.8682539463043213], [0.5011904835700989, 0.8039682507514954, 0.9051587581634521, 0.9523809552192688], [0.5210317373275757, 0.8202381134033203, 0.9269841313362122, 0.9579365253448486], [0.4960317313671112, 0.7825396656990051, 0.8849206566810608, 0.9396825432777405], [0.5174603462219238, 0.8023809790611267, 0.8924603462219238, 0.9416666626930237], [0.4452380836009979, 0.7535714507102966, 0.8686507940292358, 0.9333333373069763], [0.5785714387893677, 0.8567460179328918, 0.9321428537368774, 0.9674603343009949], [0.4047619104385376, 0.7357142567634583, 0.8539682626724243, 0.9178571701049805]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
2,hi10,2520,0.3918319344520569,0.29977208375930786,-0.658107340335846,0.1510065346956253,0.038950271904468536,0.038950271904468536,"[0.015207188203930855, 0.020770637318491936, 0.12378812581300735, 0.049340974539518356, 0.053441476076841354, 0.05266445502638817, 0.015070440247654915, 0.02425464615225792, 0.028319377452135086, 0.0066453744657337666]","[[0.5059523582458496, 0.7980158925056458, 0.8948412537574768, 0.9476190209388733], [0.46071428060531616, 0.7646825313568115, 0.8595238327980042, 0.9182539582252502], [0.3123015761375427, 0.6261904835700989, 0.7797619104385376, 0.8797619342803955], [0.4674603044986725, 0.7611111402511597, 0.8761904835700989, 0.9337301850318909], [0.44999998807907104, 0.7630952596664429, 0.8726190328598022, 0.9309523701667786], [0.4503968358039856, 0.7531746029853821, 0.8662698268890381, 0.9218254089355469], [0.5424603223800659, 0.8234127163887024, 0.9123015999794006, 0.9488095045089722], [0.46071428060531616, 0.7555555701255798, 0.8607142567634583, 0.9154762029647827], [0.5503968000411987, 0.8257936239242554, 0.908730149269104, 0.954365074634552], [0.4007936418056488, 0.745634913444519, 0.8599206209182739, 0.9230158925056458]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
3,lo10,2520,0.38508015871047974,0.30062517523765564,-0.7089149355888367,0.14529430866241455,0.057291943579912186,0.057291943579912186,"[0.01373232901096344, 0.014473491348326206, 0.06099655479192734, 0.29022979736328125, 0.03178807720541954, 0.07037639617919922, 0.011151408776640892, 0.024351254105567932, 0.04861706122756004, 0.00720305135473609]","[[0.5198412537574768, 0.817460298538208, 0.9134920835494995, 0.9575396776199341], [0.4809523820877075, 0.779365062713623, 0.8682539463043213, 0.9134920835494995], [0.4186508059501648, 0.7293650507926941, 0.8436508178710938, 0.908730149269104], [0.15436507761478424, 0.49047619104385376, 0.7150793671607971, 0.8432539701461792], [0.5099206566810608, 0.7948412895202637, 0.8924603462219238, 0.9404761791229248], [0.43293651938438416, 0.7277777791023254, 0.8496031761169434, 0.9115079641342163], [0.5484126806259155, 0.841269850730896, 0.9174603223800659, 0.9563491940498352], [0.4313492178916931, 0.7444444298744202, 0.8563492298126221, 0.9269841313362122], [0.5809524059295654, 0.8730158805847168, 0.9388889074325562, 0.9718254208564758], [0.4158730208873749, 0.7440476417541504, 0.8662698268890381, 0.9246031641960144]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
3,hi10,2520,0.3976200222969055,0.30994945764541626,-0.6724753379821777,0.16427573561668396,0.0560060515999794,0.0560060515999794,"[0.019275739789009094, 0.026660345494747162, 0.04338329657912254, 0.2687666118144989, 0.04539455100893974, 0.05589137226343155, 0.013059490360319614, 0.019355153664946556, 0.05774578079581261, 0.010528217069804668]","[[0.5460317730903625, 0.8353174328804016, 0.9246031641960144, 0.9603174328804016], [0.4591269791126251, 0.7420634627342224, 0.8500000238418579, 0.9075396656990051], [0.47063490748405457, 0.7591269612312317, 0.8714285492897034, 0.9273809790611267], [0.184523805975914, 0.5428571701049805, 0.7452380657196045, 0.8678571581840515], [0.5234127044677734, 0.8281745910644531, 0.9238095283508301, 0.9630952477455139], [0.4575396776199341, 0.7361111044883728, 0.8392857313156128, 0.9075396656990051], [0.5571428537368774, 0.8400793671607971, 0.928174614906311, 0.9630952477455139], [0.45079365372657776, 0.7539682388305664, 0.8698412775993347, 0.9376984238624573], [0.601190447807312, 0.8769841194152832, 0.938095211982727, 0.9698412418365479], [0.3499999940395355, 0.7027778029441833, 0.8472222089767456, 0.9182539582252502]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
4,lo10,2520,0.3764841854572296,0.29519981145858765,-0.7365645170211792,0.13056400418281555,0.062460750341415405,0.062460750341415405,"[0.040720902383327484, 0.019237084314227104, 0.012934320606291294, 0.05569358915090561, 0.3116927742958069, 0.1092497706413269, 0.01649492233991623, 0.0199821125715971, 0.031673263758420944, 0.006928808521479368]","[[0.5876984000205994, 0.8694444298744202, 0.946825385093689, 0.9750000238418579], [0.46190476417541504, 0.7599206566810608, 0.8623015880584717, 0.9230158925056458], [0.4968253970146179, 0.7908729910850525, 0.8849206566810608, 0.9464285969734192], [0.42301586270332336, 0.7325396537780762, 0.8603174686431885, 0.9210317730903625], [0.1388888955116272, 0.48849207162857056, 0.7218254208564758, 0.8388888835906982], [0.3821428716182709, 0.6682539582252502, 0.7904762029647827, 0.8742063641548157], [0.5746031999588013, 0.855555534362793, 0.9353174567222595, 0.9682539701461792], [0.44404762983322144, 0.7555555701255798, 0.8678571581840515, 0.9392856955528259], [0.5551587343215942, 0.8353174328804016, 0.916269838809967, 0.9583333134651184], [0.40833333134651184, 0.7420634627342224, 0.8670634627342224, 0.9277777671813965]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
4,hi10,2520,0.3567558825016022,0.2810001075267792,-0.8078621029853821,0.13495776057243347,0.052976179867982864,0.052976179867982864,"[0.032416895031929016, 0.009388812817633152, 0.03047819435596466, 0.07099495083093643, 0.25607961416244507, 0.051235850900411606, 0.016835417598485947, 0.016873756423592567, 0.034477945417165756, 0.010980386286973953]","[[0.5920634865760803, 0.8654761910438538, 0.9365079402923584, 0.9694444537162781], [0.5015873312950134, 0.7924603223800659, 0.891269862651825, 0.942460298538208], [0.5507936477661133, 0.8376984000205994, 0.9301587343215942, 0.9658730030059814], [0.42301586270332336, 0.7242063283920288, 0.8519841432571411, 0.9186508059501648], [0.15198412537574768, 0.5726190209388733, 0.7948412895202637, 0.898809552192688], [0.4571428596973419, 0.7428571581840515, 0.8623015880584717, 0.9265872836112976], [0.583730161190033, 0.8694444298744202, 0.9388889074325562, 0.9710317254066467], [0.4591269791126251, 0.7702381014823914, 0.8829365372657776, 0.9412698149681091], [0.5488095283508301, 0.8539682626724243, 0.9257936477661133, 0.9734126925468445], [0.3472222089767456, 0.6793650984764099, 0.829365074634552, 0.908730149269104]]",46,FactorQuery_NLL,FactorQuery_NLL,FactorQuery_NLL_seed46,factorquery,FactorQuery,nll,NLL
