factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.3452607989311218,0.26617470383644104,-0.6945690512657166,0.11398611217737198,0.040218837559223175,0.040218837559223175,"[0.16281796991825104, 0.006717432755976915, 0.021209901198744774, 0.039356864988803864, 0.027142303064465523, 0.05122710019350052, 0.0323789156973362, 0.017575273290276527, 0.022357217967510223, 0.021405406296253204]","[[0.12857143580913544, 0.420634925365448, 0.6551587581634521, 0.807539701461792], [0.4749999940395355, 0.7869047522544861, 0.89682537317276, 0.9472222328186035], [0.5115079283714294, 0.8158730268478394, 0.908730149269104, 0.9492063522338867], [0.533730149269104, 0.8142856955528259, 0.9019841551780701, 0.9472222328186035], [0.4821428656578064, 0.7904762029647827, 0.8896825313568115, 0.9416666626930237], [0.46071428060531616, 0.7480158805847168, 0.8535714149475098, 0.9166666865348816], [0.4119047522544861, 0.7234126925468445, 0.8353174328804016, 0.8928571343421936], [0.4900793731212616, 0.7829365134239197, 0.8960317373275757, 0.9503968358039856], [0.5420634746551514, 0.8361111283302307, 0.9178571701049805, 0.9523809552192688], [0.5583333373069763, 0.8527777791023254, 0.9365079402923584, 0.9658730030059814]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
0,hi10,2520,0.3510160744190216,0.26352065801620483,-0.6731413006782532,0.11176730692386627,0.03167416900396347,0.03167416900396347,"[0.08351291716098785, 0.012966415844857693, 0.008671640418469906, 0.03894460201263428, 0.041004277765750885, 0.0411541722714901, 0.0133668789640069, 0.020620964467525482, 0.021028956398367882, 0.03547083958983421]","[[0.3202380836009979, 0.6269841194152832, 0.7746031880378723, 0.8682539463043213], [0.4742063581943512, 0.7797619104385376, 0.8738095164299011, 0.9269841313362122], [0.519444465637207, 0.8055555820465088, 0.891269862651825, 0.938095211982727], [0.4841269850730896, 0.7865079641342163, 0.882539689540863, 0.9301587343215942], [0.4722222089767456, 0.7579365372657776, 0.8722222447395325, 0.928174614906311], [0.4694444537162781, 0.7626984119415283, 0.8710317611694336, 0.920634925365448], [0.5039682388305664, 0.8007936477661133, 0.8920634984970093, 0.9404761791229248], [0.46785715222358704, 0.7805555462837219, 0.8853174448013306, 0.9404761791229248], [0.4932539761066437, 0.7746031880378723, 0.8797619342803955, 0.9257936477661133], [0.5817460417747498, 0.8710317611694336, 0.9408730268478394, 0.970634937286377]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
1,lo10,2520,0.331703245639801,0.2465854436159134,-0.7513229846954346,0.10691802203655243,0.023572655394673347,0.023572655394673347,"[0.029433470219373703, 0.02070257067680359, 0.01988684944808483, 0.03232020512223244, 0.010819354094564915, 0.040350787341594696, 0.019582541659474373, 0.016769511625170708, 0.017600566148757935, 0.028260689228773117]","[[0.4753968119621277, 0.7710317373275757, 0.8773809671401978, 0.9373015761375427], [0.4821428656578064, 0.7789682745933533, 0.8761904835700989, 0.9345238208770752], [0.516269862651825, 0.791269838809967, 0.8861111402511597, 0.942460298538208], [0.49563491344451904, 0.7892857193946838, 0.8880952596664429, 0.932539701461792], [0.5246031880378723, 0.807539701461792, 0.8888888955116272, 0.9404761791229248], [0.4972222149372101, 0.766269862651825, 0.863095223903656, 0.9146825671195984], [0.4813492000102997, 0.7670634984970093, 0.8714285492897034, 0.9238095283508301], [0.4928571283817291, 0.7936508059501648, 0.9035714268684387, 0.9555555582046509], [0.5023809671401978, 0.7916666865348816, 0.8873015642166138, 0.9265872836112976], [0.5896825194358826, 0.8642857074737549, 0.9436507821083069, 0.9694444537162781]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
1,hi10,2520,0.31886786222457886,0.23723724484443665,-0.8036708831787109,0.10257948189973831,0.024631593376398087,0.024631593376398087,"[0.02187436819076538, 0.013844097964465618, 0.02869897335767746, 0.0282379612326622, 0.03853331133723259, 0.05021943897008896, 0.013777894899249077, 0.01086875144392252, 0.014885494485497475, 0.02537563070654869]","[[0.494047611951828, 0.776190459728241, 0.8746031522750854, 0.9297618865966797], [0.4960317313671112, 0.8091269731521606, 0.9059523940086365, 0.9531745910644531], [0.5480158925056458, 0.8198412656784058, 0.9019841551780701, 0.9456349015235901], [0.5031746029853821, 0.7900793552398682, 0.886904776096344, 0.9412698149681091], [0.494047611951828, 0.7932539582252502, 0.8813492059707642, 0.9329364895820618], [0.4642857015132904, 0.7488095164299011, 0.8611111044883728, 0.9166666865348816], [0.5222222208976746, 0.8182539939880371, 0.9023809432983398, 0.9404761791229248], [0.4992063343524933, 0.7908729910850525, 0.891269862651825, 0.9440476298332214], [0.5039682388305664, 0.7992063760757446, 0.8880952596664429, 0.9388889074325562], [0.5809524059295654, 0.8476190567016602, 0.920634925365448, 0.9567460417747498]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
2,lo10,2520,0.3516990542411804,0.2673637568950653,-0.6839388012886047,0.11356422305107117,0.0425160713493824,0.0425160713493824,"[0.027094239369034767, 0.013075672090053558, 0.19229184091091156, 0.03604399040341377, 0.01500745490193367, 0.037347644567489624, 0.023664331063628197, 0.018505696207284927, 0.024100298061966896, 0.0380295068025589]","[[0.45198413729667664, 0.7428571581840515, 0.8547618985176086, 0.9182539582252502], [0.4730158746242523, 0.7650793790817261, 0.8702380657196045, 0.9285714030265808], [0.19484126567840576, 0.466269850730896, 0.641269862651825, 0.7845237851142883], [0.4821428656578064, 0.7765873074531555, 0.8805555701255798, 0.9321428537368774], [0.5003968477249146, 0.8027777671813965, 0.8896825313568115, 0.9361110925674438], [0.5019841194152832, 0.7753968238830566, 0.8785714507102966, 0.9277777671813965], [0.4980158805847168, 0.7920634746551514, 0.8785714507102966, 0.9297618865966797], [0.5150793790817261, 0.7952380776405334, 0.9003968238830566, 0.9519841074943542], [0.5468254089355469, 0.8500000238418579, 0.9253968000411987, 0.9603174328804016], [0.6039682626724243, 0.8797619342803955, 0.9460317492485046, 0.9753968119621277]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
2,hi10,2520,0.38560622930526733,0.2935049533843994,-0.5950304865837097,0.13081206381320953,0.03760585933923721,0.03760585933923721,"[0.033813923597335815, 0.0166619960218668, 0.078154556453228, 0.045453134924173355, 0.05801410973072052, 0.0665900781750679, 0.013947397470474243, 0.015361957252025604, 0.01959746889770031, 0.02846396714448929]","[[0.45992064476013184, 0.7488095164299011, 0.8650793433189392, 0.9182539582252502], [0.4753968119621277, 0.7726190686225891, 0.8757936358451843, 0.9285714030265808], [0.36944442987442017, 0.7059524059295654, 0.8365079164505005, 0.9142857193946838], [0.46190476417541504, 0.7440476417541504, 0.8579365015029907, 0.928174614906311], [0.44682538509368896, 0.7313492298126221, 0.8376984000205994, 0.8964285850524902], [0.43293651938438416, 0.7420634627342224, 0.8567460179328918, 0.9186508059501648], [0.5003968477249146, 0.7908729910850525, 0.8805555701255798, 0.932539701461792], [0.5019841194152832, 0.795634925365448, 0.9075396656990051, 0.9523809552192688], [0.511904776096344, 0.7920634746551514, 0.891269862651825, 0.9373015761375427], [0.5539682507514954, 0.8277778029441833, 0.9091269969940186, 0.9535714387893677]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
3,lo10,2520,0.3712767958641052,0.28939753770828247,-0.6354687213897705,0.11956167966127396,0.05727527290582657,0.05727527290582657,"[0.028898218646645546, 0.009375687688589096, 0.04944290593266487, 0.29063841700553894, 0.03651238977909088, 0.06820986419916153, 0.01900416612625122, 0.01934933103621006, 0.024303892627358437, 0.027017809450626373]","[[0.46468254923820496, 0.7654761672019958, 0.8646825551986694, 0.9222221970558167], [0.47261905670166016, 0.7813491821289062, 0.8801587224006653, 0.9337301850318909], [0.42896825075149536, 0.738095223903656, 0.8507936596870422, 0.9103174805641174], [0.15357142686843872, 0.4384920597076416, 0.6460317373275757, 0.7928571701049805], [0.4920634925365448, 0.7841269969940186, 0.8809523582458496, 0.9246031641960144], [0.4246031641960144, 0.7317460179328918, 0.8452380895614624, 0.9039682745933533], [0.5349206328392029, 0.821825385093689, 0.9047619104385376, 0.949999988079071], [0.49166667461395264, 0.7908729910850525, 0.8992063403129578, 0.9480158686637878], [0.565079391002655, 0.8464285731315613, 0.9321428537368774, 0.966269850730896], [0.5746031999588013, 0.8607142567634583, 0.9341269731521606, 0.9686508178710938]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
3,hi10,2520,0.38778460025787354,0.2997778654098511,-0.6058293581008911,0.1362728327512741,0.051443807780742645,0.051443807780742645,"[0.018482575193047523, 0.011783631518483162, 0.03236834332346916, 0.21847544610500336, 0.031382761895656586, 0.10957204550504684, 0.014965158887207508, 0.024917012080550194, 0.03044222854077816, 0.02204890362918377]","[[0.4952380955219269, 0.7845237851142883, 0.8845238089561462, 0.9384920597076416], [0.4900793731212616, 0.7904762029647827, 0.8861111402511597, 0.934920608997345], [0.49246031045913696, 0.7797619104385376, 0.8857142925262451, 0.9412698149681091], [0.22857142984867096, 0.5583333373069763, 0.7444444298744202, 0.8619047403335571], [0.47380951046943665, 0.7801587581634521, 0.8781746029853821, 0.9265872836112976], [0.3996031880378723, 0.6642857193946838, 0.7920634746551514, 0.8757936358451843], [0.5134920477867126, 0.8162698149681091, 0.9067460298538208, 0.9488095045089722], [0.48253968358039856, 0.7730158567428589, 0.886904776096344, 0.9472222328186035], [0.5535714030265808, 0.8376984000205994, 0.9210317730903625, 0.961904764175415], [0.5551587343215942, 0.8500000238418579, 0.9309523701667786, 0.9670634865760803]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
4,lo10,2520,0.3665132224559784,0.2845408320426941,-0.6491166949272156,0.10986405611038208,0.061918169260025024,0.061918169260025024,"[0.01376721728593111, 0.018165279179811478, 0.020687436684966087, 0.0708625540137291, 0.3015761375427246, 0.11408700793981552, 0.013934537768363953, 0.01887534372508526, 0.019406091421842575, 0.027820125222206116]","[[0.49841269850730896, 0.8003968000411987, 0.9039682745933533, 0.9476190209388733], [0.4781745970249176, 0.7785714268684387, 0.8797619342803955, 0.9365079402923584], [0.5269841551780701, 0.8198412656784058, 0.9075396656990051, 0.9503968358039856], [0.41626983880996704, 0.704365074634552, 0.8170635104179382, 0.8900793790817261], [0.12976190447807312, 0.4333333373069763, 0.6337301731109619, 0.769444465637207], [0.386904776096344, 0.6551587581634521, 0.7706349492073059, 0.8551587462425232], [0.5309523940086365, 0.8376984000205994, 0.9190475940704346, 0.9555555582046509], [0.4908730089664459, 0.8023809790611267, 0.9067460298538208, 0.9555555582046509], [0.5349206328392029, 0.8301587104797363, 0.9186508059501648, 0.9571428298950195], [0.5924603343009949, 0.8765873312950134, 0.9416666626930237, 0.9757936596870422]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
4,hi10,2520,0.3511905372142792,0.2693451941013336,-0.7219594120979309,0.1218002662062645,0.04660170525312424,0.04660170525312424,"[0.014302439987659454, 0.015017165802419186, 0.05581216514110565, 0.07335356622934341, 0.14652474224567413, 0.07901958376169205, 0.015171445906162262, 0.026584340259432793, 0.01945023611187935, 0.02078135311603546]","[[0.5087301731109619, 0.7861111164093018, 0.8841269612312317, 0.942460298538208], [0.5059523582458496, 0.8134920597076416, 0.9095237851142883, 0.9519841074943542], [0.5765873193740845, 0.8662698268890381, 0.9329364895820618, 0.9690476059913635], [0.4138889014720917, 0.7222222089767456, 0.8424603343009949, 0.9059523940086365], [0.34087300300598145, 0.6912698149681091, 0.8246031999588013, 0.8932539820671082], [0.4047619104385376, 0.6940476298332214, 0.8190476298332214, 0.8940476179122925], [0.5325396656990051, 0.8246031999588013, 0.9067460298538208, 0.954365074634552], [0.5095238089561462, 0.7924603223800659, 0.9003968238830566, 0.9492063522338867], [0.5496031641960144, 0.8424603343009949, 0.9182539582252502, 0.9603174328804016], [0.5571428537368774, 0.8416666388511658, 0.9301587343215942, 0.9674603343009949]]",47,FactorQuery_RESVAR,FactorQuery_RESVAR,FactorQuery_RESVAR_seed47,factorquery,FactorQuery,residual_variance_reg,RESVAR
