factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.23808400332927704,0.16397324204444885,-1.3143095970153809,0.058478567749261856,0.01775262877345085,0.01775262877345085,"[0.015862097963690758, 0.006615777965635061, 0.016529705375432968, 0.02273551933467388, 0.03812865912914276, 0.022313548251986504, 0.004159233532845974, 0.025073181837797165, 0.01972864754498005, 0.006379928905516863]","[[0.538095235824585, 0.8376984000205994, 0.9238095283508301, 0.9623016119003296], [0.5083333253860474, 0.7908729910850525, 0.8924603462219238, 0.9432539939880371], [0.5115079283714294, 0.8126984238624573, 0.9003968238830566, 0.9480158686637878], [0.5309523940086365, 0.8043650984764099, 0.8924603462219238, 0.9321428537368774], [0.4623015820980072, 0.766269862651825, 0.867460310459137, 0.920634925365448], [0.5174603462219238, 0.7928571701049805, 0.8837301731109619, 0.9329364895820618], [0.49841269850730896, 0.7980158925056458, 0.8960317373275757, 0.9416666626930237], [0.5130952596664429, 0.8115079402923584, 0.9146825671195984, 0.961904764175415], [0.5460317730903625, 0.8321428298950195, 0.9142857193946838, 0.958730161190033], [0.42222222685813904, 0.7742063403129578, 0.9027777910232544, 0.9559524059295654]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
0,hi10,2520,0.2552599310874939,0.17755278944969177,-1.1892372369766235,0.06466581672430038,0.01831267960369587,0.01831267960369587,"[0.032984763383865356, 0.014382408000528812, 0.009909682907164097, 0.015724526718258858, 0.02847803197801113, 0.01878969743847847, 0.013791997916996479, 0.01980355940759182, 0.02225511707365513, 0.0070070018991827965]","[[0.4095238149166107, 0.7007936239242554, 0.8214285969734192, 0.8976190686225891], [0.4611110985279083, 0.7535714507102966, 0.858730137348175, 0.9115079641342163], [0.5142857432365417, 0.7900793552398682, 0.8880952596664429, 0.9313492178916931], [0.5214285850524902, 0.8015872836112976, 0.8932539820671082, 0.9376984238624573], [0.4793650805950165, 0.7674603462219238, 0.8714285492897034, 0.9230158925056458], [0.5265873074531555, 0.8035714030265808, 0.8972222208976746, 0.9416666626930237], [0.4531745910644531, 0.7460317611694336, 0.8527777791023254, 0.9190475940704346], [0.48373016715049744, 0.7972221970558167, 0.9023809432983398, 0.9492063522338867], [0.511904776096344, 0.7932539582252502, 0.894444465637207, 0.9357143044471741], [0.3928571343421936, 0.7376984357833862, 0.8607142567634583, 0.925000011920929]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
1,lo10,2520,0.24178016185760498,0.16611182689666748,-1.2714334726333618,0.0582805760204792,0.018182141706347466,0.018182141706347466,"[0.010289211757481098, 0.028824932873249054, 0.01543388981372118, 0.016756394878029823, 0.02058599330484867, 0.01890876702964306, 0.010534469038248062, 0.028173169121146202, 0.02668619714677334, 0.005628411192446947]","[[0.4960317313671112, 0.791269838809967, 0.879365086555481, 0.9345238208770752], [0.40317460894584656, 0.6984127163887024, 0.821825385093689, 0.8956349492073059], [0.5134920477867126, 0.7888888716697693, 0.8876984119415283, 0.9396825432777405], [0.5317460298538208, 0.8170635104179382, 0.904365062713623, 0.9492063522338867], [0.5067460536956787, 0.7944444417953491, 0.8908730149269104, 0.9309523701667786], [0.5202381014823914, 0.8027777671813965, 0.8936507701873779, 0.9428571462631226], [0.4670634865760803, 0.7678571343421936, 0.8642857074737549, 0.9198412895202637], [0.4952380955219269, 0.8023809790611267, 0.9150793552398682, 0.9611111283302307], [0.5198412537574768, 0.8007936477661133, 0.894444465637207, 0.9404761791229248], [0.4472222328186035, 0.7888888716697693, 0.8992063403129578, 0.9583333134651184]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
1,hi10,2520,0.23010437190532684,0.15778395533561707,-1.3252204656600952,0.05611946061253548,0.013816150836646557,0.013816150836646557,"[0.010825330391526222, 0.01214381493628025, 0.007849828340113163, 0.009695786982774734, 0.028494972735643387, 0.017614148557186127, 0.006901525892317295, 0.021180005744099617, 0.017299024388194084, 0.0061570736579597]","[[0.4821428656578064, 0.7753968238830566, 0.8730158805847168, 0.9345238208770752], [0.5003968477249146, 0.7924603223800659, 0.8861111402511597, 0.936904788017273], [0.5023809671401978, 0.779365062713623, 0.8821428418159485, 0.9321428537368774], [0.5111111402511597, 0.8178571462631226, 0.9031745791435242, 0.9464285969734192], [0.4900793731212616, 0.773809552192688, 0.8686507940292358, 0.9186508059501648], [0.5384920835494995, 0.8289682269096375, 0.908730149269104, 0.9496031999588013], [0.5011904835700989, 0.7904762029647827, 0.8853174448013306, 0.9337301850318909], [0.5396825671195984, 0.8210317492485046, 0.9134920835494995, 0.9607142806053162], [0.5242063403129578, 0.8115079402923584, 0.9019841551780701, 0.9460317492485046], [0.3642857074737549, 0.7194444537162781, 0.8543650507926941, 0.9313492178916931]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
2,lo10,2520,0.24523434042930603,0.17100413143634796,-1.2380447387695312,0.06018053740262985,0.01906014047563076,0.01906014047563076,"[0.012139958329498768, 0.014098845422267914, 0.04181063920259476, 0.013411357998847961, 0.028199775144457817, 0.015345688909292221, 0.009290246292948723, 0.027569018304347992, 0.019774066284298897, 0.008961818180978298]","[[0.48373016715049744, 0.7797619104385376, 0.8821428418159485, 0.9301587343215942], [0.46587300300598145, 0.75, 0.8567460179328918, 0.913095235824585], [0.4257936477661133, 0.7246031761169434, 0.8380952477455139, 0.9055555462837219], [0.519444465637207, 0.8047618865966797, 0.8841269612312317, 0.9293650984764099], [0.466269850730896, 0.7682539820671082, 0.8722222447395325, 0.9277777671813965], [0.5249999761581421, 0.8107143044471741, 0.8984127044677734, 0.9420635104179382], [0.4781745970249176, 0.7623015642166138, 0.8638888597488403, 0.9242063760757446], [0.4928571283817291, 0.7988095283508301, 0.9115079641342163, 0.9571428298950195], [0.5222222208976746, 0.815079391002655, 0.9107142686843872, 0.9488095045089722], [0.3523809611797333, 0.6932539939880371, 0.8476190567016602, 0.9329364895820618]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
2,hi10,2520,0.29040294885635376,0.20545391738414764,-1.056060552597046,0.08380278944969177,0.021985897794365883,0.021985897794365883,"[0.024881716817617416, 0.018133318051695824, 0.019660888239741325, 0.014926825650036335, 0.04214299097657204, 0.02932560443878174, 0.01761346124112606, 0.02185427024960518, 0.025226406753063202, 0.006093498319387436]","[[0.4702380895614624, 0.7579365372657776, 0.8662698268890381, 0.9222221970558167], [0.47063490748405457, 0.7559523582458496, 0.8603174686431885, 0.9174603223800659], [0.48968252539634705, 0.7690476179122925, 0.8765873312950134, 0.925000011920929], [0.5166666507720947, 0.8039682507514954, 0.8920634984970093, 0.9309523701667786], [0.45595237612724304, 0.7531746029853821, 0.8591269850730896, 0.9071428775787354], [0.49444442987442017, 0.7849206328392029, 0.8781746029853821, 0.9301587343215942], [0.4634920656681061, 0.7666666507720947, 0.8730158805847168, 0.9198412895202637], [0.5257936716079712, 0.8269841074943542, 0.925000011920929, 0.9630952477455139], [0.516269862651825, 0.800000011920929, 0.8964285850524902, 0.9440476298332214], [0.4654761850833893, 0.8011904954910278, 0.901190459728241, 0.961904764175415]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
3,lo10,2520,0.2600342631340027,0.18198919296264648,-1.177893877029419,0.06531079858541489,0.025105759501457214,0.025105759501457214,"[0.016612587496638298, 0.011399961076676846, 0.015454062260687351, 0.07750601321458817, 0.03333829343318939, 0.03247401863336563, 0.007984952069818974, 0.026012267917394638, 0.023486537858843803, 0.00678891409188509]","[[0.47777777910232544, 0.754365086555481, 0.8579365015029907, 0.9099206328392029], [0.4853174686431885, 0.7678571343421936, 0.8658730387687683, 0.9142857193946838], [0.5115079283714294, 0.7853174805641174, 0.8813492059707642, 0.9376984238624573], [0.4345238208770752, 0.7154762148857117, 0.8222222328186035, 0.8853174448013306], [0.4869047701358795, 0.7726190686225891, 0.8670634627342224, 0.9146825671195984], [0.5174603462219238, 0.7825396656990051, 0.8710317611694336, 0.9182539582252502], [0.47460317611694336, 0.7650793790817261, 0.8670634627342224, 0.9218254089355469], [0.5123015642166138, 0.8134920597076416, 0.9111111164093018, 0.9607142806053162], [0.5305555462837219, 0.8134920597076416, 0.9091269969940186, 0.9511904716491699], [0.3658730089664459, 0.7174603343009949, 0.8603174686431885, 0.9376984238624573]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
3,hi10,2520,0.2959112524986267,0.21197471022605896,-1.0806968212127686,0.09176945686340332,0.02730589546263218,0.02730589546263218,"[0.015388081781566143, 0.014891412109136581, 0.03056950494647026, 0.09190361946821213, 0.02984778769314289, 0.03559202328324318, 0.007802494335919619, 0.02204367145895958, 0.018724896013736725, 0.006295466795563698]","[[0.49246031045913696, 0.7892857193946838, 0.8888888955116272, 0.9392856955528259], [0.4730158746242523, 0.7591269612312317, 0.8642857074737549, 0.9238095283508301], [0.5031746029853821, 0.7746031880378723, 0.8746031522750854, 0.9246031641960144], [0.41031745076179504, 0.7083333134651184, 0.8178571462631226, 0.879365086555481], [0.4869047701358795, 0.7670634984970093, 0.8722222447395325, 0.9230158925056458], [0.4960317313671112, 0.7892857193946838, 0.8757936358451843, 0.9246031641960144], [0.4952380955219269, 0.7904762029647827, 0.8928571343421936, 0.9420635104179382], [0.4869047701358795, 0.7853174805641174, 0.9111111164093018, 0.9583333134651184], [0.5289682745933533, 0.815079391002655, 0.9079365134239197, 0.9531745910644531], [0.4353174567222595, 0.7638888955116272, 0.8880952596664429, 0.9511904716491699]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
4,lo10,2520,0.27671945095062256,0.19841457903385162,-1.1193794012069702,0.06986311078071594,0.03626449033617973,0.03626449033617973,"[0.010867505334317684, 0.009208114817738533, 0.014519860036671162, 0.06434671580791473, 0.14706552028656006, 0.05712956190109253, 0.004983161110430956, 0.023488715291023254, 0.024070242419838905, 0.006965532433241606]","[[0.5170634984970093, 0.8103174567222595, 0.9019841551780701, 0.9476190209388733], [0.49761903285980225, 0.791269838809967, 0.8841269612312317, 0.9388889074325562], [0.5603174567222595, 0.8341270089149475, 0.920634925365448, 0.9591270089149475], [0.42698413133621216, 0.7027778029441833, 0.8123015761375427, 0.8757936358451843], [0.3658730089664459, 0.641269862651825, 0.7547619342803955, 0.8265873193740845], [0.4392857253551483, 0.7166666388511658, 0.8305555582046509, 0.8904761672019958], [0.5190476179122925, 0.8063492178916931, 0.8928571343421936, 0.9420635104179382], [0.488095223903656, 0.7936508059501648, 0.9142857193946838, 0.9607142806053162], [0.5230158567428589, 0.8083333373069763, 0.9019841551780701, 0.9456349015235901], [0.38928571343421936, 0.7420634627342224, 0.8873015642166138, 0.9527778029441833]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
4,hi10,2520,0.2550353407859802,0.18050464987754822,-1.238266110420227,0.0657459944486618,0.028420358896255493,0.028420358896255493,"[0.0074089705012738705, 0.006532798986881971, 0.01820024475455284, 0.04987591132521629, 0.09102166444063187, 0.04861751198768616, 0.00271506211720407, 0.031325481832027435, 0.021593982353806496, 0.006911976262927055]","[[0.5234127044677734, 0.7976190447807312, 0.891269862651825, 0.9408730268478394], [0.5230158567428589, 0.8095238208770752, 0.8980158567428589, 0.9412698149681091], [0.571825385093689, 0.8503968119621277, 0.9277777671813965, 0.9634920358657837], [0.44603174924850464, 0.7384920716285706, 0.8384920358657837, 0.901190459728241], [0.4503968358039856, 0.7531746029853821, 0.8507936596870422, 0.9063491821289062], [0.44285714626312256, 0.7190476059913635, 0.8373016119003296, 0.8996031880378723], [0.5206349492073059, 0.800000011920929, 0.8948412537574768, 0.9396825432777405], [0.5190476179122925, 0.8051587343215942, 0.9190475940704346, 0.9642857313156128], [0.5297619104385376, 0.8226190209388733, 0.9119047522544861, 0.9555555582046509], [0.3789682686328888, 0.7269841432571411, 0.8642857074737549, 0.934920608997345]]",47,FlatMLP_NLL,FlatMLP_NLL,FlatMLP_NLL_seed47,flatmlp,FlatMLP,nll,NLL
