factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.23306338489055634,0.16187530755996704,-1.310333251953125,0.05202803015708923,0.018045034259557724,0.018045034259557724,"[0.010026208125054836, 0.010997562669217587, 0.01948953978717327, 0.02912052907049656, 0.02351432479918003, 0.03113468922674656, 0.004845616407692432, 0.028040889650583267, 0.019795609638094902, 0.00348538882099092]","[[0.49841269850730896, 0.8011904954910278, 0.9051587581634521, 0.958730161190033], [0.47063490748405457, 0.7515873312950134, 0.8547618985176086, 0.9198412895202637], [0.5365079641342163, 0.8226190209388733, 0.9095237851142883, 0.9488095045089722], [0.5067460536956787, 0.7984126806259155, 0.8857142925262451, 0.9265872836112976], [0.4988095164299011, 0.7789682745933533, 0.8845238089561462, 0.9361110925674438], [0.5365079641342163, 0.8087301850318909, 0.8972222208976746, 0.9396825432777405], [0.49841269850730896, 0.800000011920929, 0.8956349492073059, 0.9384920597076416], [0.4801587164402008, 0.7626984119415283, 0.8781746029853821, 0.938095211982727], [0.48968252539634705, 0.7976190447807312, 0.904365062713623, 0.9615079164505005], [0.46666666865348816, 0.8384920358657837, 0.940079391002655, 0.9730158448219299]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
0,hi10,2520,0.23926427960395813,0.16830974817276,-1.2394347190856934,0.054555006325244904,0.017490539699792862,0.017490539699792862,"[0.016843067482113838, 0.020185239613056183, 0.01649310253560543, 0.013582684099674225, 0.03022104501724243, 0.022630853578448296, 0.0051650372333824635, 0.019964469596743584, 0.025492163375020027, 0.004327734466642141]","[[0.5587301850318909, 0.8591269850730896, 0.9388889074325562, 0.9690476059913635], [0.43492063879966736, 0.7265872955322266, 0.8305555582046509, 0.8948412537574768], [0.4873015880584717, 0.7753968238830566, 0.8769841194152832, 0.9309523701667786], [0.5150793790817261, 0.8027777671813965, 0.8948412537574768, 0.9361110925674438], [0.4464285671710968, 0.7468253970146179, 0.8519841432571411, 0.9083333611488342], [0.4722222089767456, 0.7849206328392029, 0.8738095164299011, 0.9238095283508301], [0.5242063403129578, 0.8170635104179382, 0.9111111164093018, 0.954365074634552], [0.4869047701358795, 0.7706349492073059, 0.8789682388305664, 0.9313492178916931], [0.4654761850833893, 0.7587301731109619, 0.8646825551986694, 0.9273809790611267], [0.4900793731212616, 0.8095238208770752, 0.9166666865348816, 0.9623016119003296]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
1,lo10,2520,0.23168425261974335,0.1627192199230194,-1.273830771446228,0.047870077192783356,0.019367028027772903,0.019367028027772903,"[0.00828531477600336, 0.032744150608778, 0.01764538697898388, 0.019787291064858437, 0.019989104941487312, 0.029362913221120834, 0.005172002129256725, 0.02558109350502491, 0.030027490109205246, 0.005075550172477961]","[[0.4932539761066437, 0.8063492178916931, 0.9103174805641174, 0.9571428298950195], [0.39444443583488464, 0.6690475940704346, 0.7865079641342163, 0.8607142567634583], [0.5011904835700989, 0.7857142686843872, 0.8817460536956787, 0.9329364895820618], [0.5059523582458496, 0.7841269969940186, 0.8757936358451843, 0.925000011920929], [0.4710317552089691, 0.7595238089561462, 0.863095223903656, 0.9146825671195984], [0.5115079283714294, 0.791269838809967, 0.8853174448013306, 0.9321428537368774], [0.5107142925262451, 0.8111110925674438, 0.8992063403129578, 0.9527778029441833], [0.48373016715049744, 0.7726190686225891, 0.8797619342803955, 0.9428571462631226], [0.47976189851760864, 0.7845237851142883, 0.8956349492073059, 0.9527778029441833], [0.4134920537471771, 0.7746031880378723, 0.8999999761581421, 0.9547619223594666]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
1,hi10,2520,0.22088904678821564,0.15203824639320374,-1.3668849468231201,0.04817575961351395,0.014853881672024727,0.014853881672024727,"[0.013567290268838406, 0.010608808137476444, 0.01053061243146658, 0.016972215846180916, 0.026298703625798225, 0.0186212919652462, 0.007932314649224281, 0.019912395626306534, 0.017799029126763344, 0.006296143867075443]","[[0.5436508059501648, 0.8408730030059814, 0.9242063760757446, 0.9634920358657837], [0.5003968477249146, 0.7845237851142883, 0.8841269612312317, 0.9313492178916931], [0.5432539582252502, 0.8246031999588013, 0.9059523940086365, 0.9448412656784058], [0.5246031880378723, 0.8142856955528259, 0.89682537317276, 0.9388889074325562], [0.4492063522338867, 0.754365086555481, 0.8615079522132874, 0.9230158925056458], [0.5317460298538208, 0.8202381134033203, 0.9126983880996704, 0.9496031999588013], [0.5432539582252502, 0.8305555582046509, 0.9138888716697693, 0.9547619223594666], [0.4928571283817291, 0.7849206328392029, 0.8857142925262451, 0.9396825432777405], [0.45396825671195984, 0.7630952596664429, 0.8797619342803955, 0.9392856955528259], [0.5845237970352173, 0.8940476179122925, 0.9575396776199341, 0.9829365015029907]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
2,lo10,2520,0.23548364639282227,0.16574779152870178,-1.260087251663208,0.049742598086595535,0.02033461257815361,0.02033461257815361,"[0.011317220516502857, 0.020529508590698242, 0.03465161472558975, 0.025310402736067772, 0.03000360168516636, 0.026304224506020546, 0.0049628522247076035, 0.024208858609199524, 0.020424630492925644, 0.005633211228996515]","[[0.48452380299568176, 0.7924603223800659, 0.8996031880378723, 0.9484127163887024], [0.4404761791229248, 0.7226190567016602, 0.8289682269096375, 0.9007936716079712], [0.4523809552192688, 0.733730137348175, 0.8432539701461792, 0.9107142686843872], [0.5055555701255798, 0.7908729910850525, 0.8817460536956787, 0.9210317730903625], [0.44206348061561584, 0.7392857074737549, 0.8503968119621277, 0.9138888716697693], [0.516269862651825, 0.813095211982727, 0.8992063403129578, 0.9361110925674438], [0.4972222149372101, 0.8003968000411987, 0.8952381014823914, 0.9456349015235901], [0.5083333253860474, 0.7777777910232544, 0.8865079283714294, 0.9452381134033203], [0.4682539701461792, 0.7749999761581421, 0.8730158805847168, 0.9305555820465088], [0.4246031641960144, 0.7785714268684387, 0.904365062713623, 0.9531745910644531]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
2,hi10,2520,0.28383955359458923,0.20176386833190918,-1.0783734321594238,0.07247938215732574,0.023734603077173233,0.023734603077173233,"[0.01314159482717514, 0.01944902166724205, 0.03362979367375374, 0.029232220724225044, 0.03836464136838913, 0.0273758452385664, 0.016560550779104233, 0.026176247745752335, 0.02697756700217724, 0.00643852399662137]","[[0.5095238089561462, 0.7936508059501648, 0.8984127044677734, 0.9440476298332214], [0.4742063581943512, 0.7353174686431885, 0.8392857313156128, 0.9031745791435242], [0.4571428596973419, 0.7396825551986694, 0.8361111283302307, 0.8924603462219238], [0.4773809611797333, 0.7666666507720947, 0.8595238327980042, 0.9194444417953491], [0.4535714387893677, 0.754365086555481, 0.8539682626724243, 0.9035714268684387], [0.494047611951828, 0.7825396656990051, 0.8801587224006653, 0.9329364895820618], [0.5357142686843872, 0.821825385093689, 0.9059523940086365, 0.9460317492485046], [0.4809523820877075, 0.7658730149269104, 0.8805555701255798, 0.932539701461792], [0.47857141494750977, 0.7857142686843872, 0.8884920477867126, 0.9480158686637878], [0.559920608997345, 0.8619047403335571, 0.9464285969734192, 0.9801587462425232]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
3,lo10,2520,0.2534520924091339,0.18036943674087524,-1.1885311603546143,0.05382416397333145,0.028921594843268394,0.028921594843268394,"[0.014443540014326572, 0.019341178238391876, 0.027178285643458366, 0.1179094910621643, 0.02609412558376789, 0.03172900900244713, 0.007210381329059601, 0.02199525013566017, 0.01758478209376335, 0.0057299016043543816]","[[0.4972222149372101, 0.788095235824585, 0.898809552192688, 0.9420635104179382], [0.4333333373069763, 0.7250000238418579, 0.8341270089149475, 0.8928571343421936], [0.49563491344451904, 0.7650793790817261, 0.8603174686431885, 0.9126983880996704], [0.35952380299568176, 0.6456349492073059, 0.7666666507720947, 0.8373016119003296], [0.45793649554252625, 0.7583333253860474, 0.8642857074737549, 0.9190475940704346], [0.4670634865760803, 0.7503968477249146, 0.8583333492279053, 0.9119047522544861], [0.5361111164093018, 0.8345237970352173, 0.9202380776405334, 0.958730161190033], [0.47857141494750977, 0.7698412537574768, 0.882539689540863, 0.9460317492485046], [0.4761904776096344, 0.7829365134239197, 0.8932539820671082, 0.9480158686637878], [0.4932539761066437, 0.8317460417747498, 0.9416666626930237, 0.9746031761169434]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
3,hi10,2520,0.27621012926101685,0.19825544953346252,-1.1182944774627686,0.0701083242893219,0.02611871063709259,0.02611871063709259,"[0.01086411066353321, 0.018967507407069206, 0.030273064970970154, 0.07247442752122879, 0.02548283524811268, 0.037790458649396896, 0.0070824758149683475, 0.0320773608982563, 0.0225803442299366, 0.0035945046693086624]","[[0.5182539820671082, 0.8047618865966797, 0.9039682745933533, 0.9535714387893677], [0.4611110985279083, 0.7376984357833862, 0.8436508178710938, 0.9059523940086365], [0.46785715222358704, 0.7511904835700989, 0.8515872955322266, 0.9126983880996704], [0.4138889014720917, 0.7107142806053162, 0.8289682269096375, 0.8849206566810608], [0.47380951046943665, 0.7841269969940186, 0.8837301731109619, 0.9317460060119629], [0.48452380299568176, 0.7567460536956787, 0.8575396537780762, 0.9079365134239197], [0.5345237851142883, 0.8190476298332214, 0.9107142686843872, 0.9551587104797363], [0.4523809552192688, 0.7408730387687683, 0.875, 0.9456349015235901], [0.4888888895511627, 0.7730158567428589, 0.8817460536956787, 0.9428571462631226], [0.4452380836009979, 0.8126984238624573, 0.9269841313362122, 0.9686508178710938]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
4,lo10,2520,0.2485184371471405,0.1768667995929718,-1.2092777490615845,0.054896965622901917,0.02934178151190281,0.02934178151190281,"[0.021609384566545486, 0.013842706568539143, 0.014138055965304375, 0.060716141015291214, 0.05606184899806976, 0.05868266522884369, 0.00987937580794096, 0.03048524260520935, 0.022910019382834435, 0.005092359147965908]","[[0.567460298538208, 0.8543650507926941, 0.9273809790611267, 0.9623016119003296], [0.46388888359069824, 0.7551587224006653, 0.8551587462425232, 0.9138888716697693], [0.5384920835494995, 0.8162698149681091, 0.898809552192688, 0.9392856955528259], [0.4095238149166107, 0.696825385093689, 0.7972221970558167, 0.858730137348175], [0.4892857074737549, 0.7833333611488342, 0.8761904835700989, 0.9234126806259155], [0.43611112236976624, 0.7095237970352173, 0.8226190209388733, 0.8809523582458496], [0.563095211982727, 0.8400793671607971, 0.9234126806259155, 0.9599206447601318], [0.4833333194255829, 0.7642857432365417, 0.8845238089561462, 0.9436507821083069], [0.4821428656578064, 0.7805555462837219, 0.8880952596664429, 0.9408730268478394], [0.4373015761375427, 0.7980158925056458, 0.9190475940704346, 0.9623016119003296]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
4,hi10,2520,0.25361648201942444,0.17991888523101807,-1.2458137273788452,0.05561000853776932,0.03437956050038338,0.03437956050038338,"[0.019219975918531418, 0.007553525734692812, 0.020287878811359406, 0.05604952573776245, 0.13008610904216766, 0.04951315000653267, 0.01094512827694416, 0.02607758156955242, 0.019738726317882538, 0.004323998466134071]","[[0.5634920597076416, 0.8468254208564758, 0.9265872836112976, 0.9630952477455139], [0.5007936358451843, 0.795634925365448, 0.8904761672019958, 0.9345238208770752], [0.565079391002655, 0.8496031761169434, 0.9182539582252502, 0.9563491940498352], [0.4384920597076416, 0.7285714149475098, 0.8242063522338867, 0.8849206566810608], [0.3325396776199341, 0.6337301731109619, 0.7753968238830566, 0.8507936596870422], [0.45079365372657776, 0.7246031761169434, 0.8313491940498352, 0.8948412537574768], [0.5817460417747498, 0.8515872955322266, 0.9329364895820618, 0.966269850730896], [0.5087301731109619, 0.7769841551780701, 0.8916666507720947, 0.9460317492485046], [0.4773809611797333, 0.7789682745933533, 0.8920634984970093, 0.9531745910644531], [0.4869047701358795, 0.8289682269096375, 0.9289682507514954, 0.9726190567016602]]",46,FlatMLP_RESVAR,FlatMLP_RESVAR,FlatMLP_RESVAR_seed46,flatmlp,FlatMLP,residual_variance_reg,RESVAR
