factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.5089901685714722,0.395651251077652,-0.3876839876174927,0.2473323941230774,0.04328428953886032,0.04328428953886032,"[0.11972854286432266, 0.019741389900445938, 0.03218621015548706, 0.026455026119947433, 0.037861865013837814, 0.04621989652514458, 0.05690960958600044, 0.022899672389030457, 0.013806594535708427, 0.057034093886613846]","[[0.3206349313259125, 0.6876984238624573, 0.8591269850730896, 0.9353174567222595], [0.4928571283817291, 0.8126984238624573, 0.9119047522544861, 0.961904764175415], [0.488095223903656, 0.7734127044677734, 0.879365086555481, 0.9273809790611267], [0.5031746029853821, 0.795634925365448, 0.8948412537574768, 0.9472222328186035], [0.4611110985279083, 0.7908729910850525, 0.9015873074531555, 0.949999988079071], [0.4523809552192688, 0.7757936716079712, 0.8900793790817261, 0.9476190209388733], [0.39246031641960144, 0.7134920358657837, 0.8579365015029907, 0.9297618865966797], [0.5123015642166138, 0.7916666865348816, 0.8948412537574768, 0.9440476298332214], [0.49047619104385376, 0.8059523701667786, 0.9119047522544861, 0.961904764175415], [0.39722222089767456, 0.7873015999794006, 0.934920608997345, 0.9670634865760803]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
0,hi10,2520,0.5191136598587036,0.3955259621143341,-0.357432097196579,0.2676970362663269,0.03643748536705971,0.03643748536705971,"[0.0950278788805008, 0.02131291665136814, 0.038811229169368744, 0.0399516336619854, 0.02380700409412384, 0.029789837077260017, 0.030463755130767822, 0.02138398215174675, 0.029170870780944824, 0.03465576097369194]","[[0.420634925365448, 0.704365074634552, 0.8257936239242554, 0.8928571343421936], [0.47261905670166016, 0.776190459728241, 0.8916666507720947, 0.9396825432777405], [0.4869047701358795, 0.7908729910850525, 0.8928571343421936, 0.9484127163887024], [0.4753968119621277, 0.7964285612106323, 0.8936507701873779, 0.9488095045089722], [0.4948412775993347, 0.807539701461792, 0.9103174805641174, 0.9551587104797363], [0.48769840598106384, 0.7809523940086365, 0.8880952596664429, 0.9420635104179382], [0.46269840002059937, 0.7591269612312317, 0.8567460179328918, 0.9214285612106323], [0.46666666865348816, 0.7765873074531555, 0.8876984119415283, 0.9444444179534912], [0.4623015820980072, 0.7888888716697693, 0.8976190686225891, 0.9484127163887024], [0.3936507999897003, 0.8003968000411987, 0.9178571701049805, 0.9476190209388733]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
1,lo10,2520,0.5024999380111694,0.37891823053359985,-0.4215926229953766,0.241056427359581,0.03883521258831024,0.03883521258831024,"[0.03683444485068321, 0.08929218351840973, 0.046432625502347946, 0.04275175556540489, 0.03531881794333458, 0.02176627703011036, 0.014053670689463615, 0.0270183514803648, 0.026018600910902023, 0.048865385353565216]","[[0.4642857015132904, 0.7817460298538208, 0.8972222208976746, 0.9523809552192688], [0.39523810148239136, 0.6948412656784058, 0.8301587104797363, 0.9107142686843872], [0.4900793731212616, 0.779365062713623, 0.8765873312950134, 0.9341269731521606], [0.4968253970146179, 0.8039682507514954, 0.9051587581634521, 0.9535714387893677], [0.48571428656578064, 0.8087301850318909, 0.9039682745933533, 0.9611111283302307], [0.5190476179122925, 0.7869047522544861, 0.8908730149269104, 0.9416666626930237], [0.49642857909202576, 0.7944444417953491, 0.8932539820671082, 0.9408730268478394], [0.49047619104385376, 0.7797619104385376, 0.8865079283714294, 0.9464285969734192], [0.4809523820877075, 0.7908729910850525, 0.9059523940086365, 0.958730161190033], [0.37936508655548096, 0.8003968000411987, 0.9242063760757446, 0.9611111283302307]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
1,hi10,2520,0.47789329290390015,0.36363181471824646,-0.46071669459342957,0.22682598233222961,0.03050617314875126,0.03050617314875126,"[0.020745303481817245, 0.05891220644116402, 0.03186784312129021, 0.029898138716816902, 0.03185751289129257, 0.04451610520482063, 0.016158027574419975, 0.011113626882433891, 0.01937022991478443, 0.04062270745635033]","[[0.48571428656578064, 0.8003968000411987, 0.9055555462837219, 0.9531745910644531], [0.4027777910232544, 0.7257936596870422, 0.863095223903656, 0.9313492178916931], [0.4801587164402008, 0.7825396656990051, 0.9007936716079712, 0.9503968358039856], [0.4781745970249176, 0.7924603223800659, 0.8896825313568115, 0.9444444179534912], [0.49642857909202576, 0.8011904954910278, 0.8964285850524902, 0.9440476298332214], [0.45396825671195984, 0.7623015642166138, 0.8809523582458496, 0.9373015761375427], [0.5059523582458496, 0.8023809790611267, 0.9079365134239197, 0.9523809552192688], [0.511904776096344, 0.8039682507514954, 0.9051587581634521, 0.9527778029441833], [0.5, 0.7968254089355469, 0.9023809432983398, 0.9523809552192688], [0.41904762387275696, 0.8384920358657837, 0.9420635104179382, 0.9670634865760803]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
2,lo10,2520,0.5137869119644165,0.39383766055107117,-0.38943177461624146,0.24759183824062347,0.050965070724487305,0.050965070724487305,"[0.04960883408784866, 0.023782268166542053, 0.20654334127902985, 0.029131948947906494, 0.05071846395730972, 0.028916403651237488, 0.02653796598315239, 0.021707091480493546, 0.022888287901878357, 0.04981614276766777]","[[0.4472222328186035, 0.7690476179122925, 0.8916666507720947, 0.9412698149681091], [0.4821428656578064, 0.7626984119415283, 0.8738095164299011, 0.936904788017273], [0.29404762387275696, 0.5694444179534912, 0.7400793433189392, 0.8603174686431885], [0.48055556416511536, 0.7948412895202637, 0.9015873074531555, 0.9535714387893677], [0.5242063403129578, 0.8317460417747498, 0.9297618865966797, 0.9694444537162781], [0.49365079402923584, 0.7841269969940186, 0.8892857432365417, 0.9492063522338867], [0.4742063581943512, 0.7734127044677734, 0.8908730149269104, 0.9496031999588013], [0.5234127044677734, 0.8067460060119629, 0.898809552192688, 0.9507936239242554], [0.5071428418159485, 0.8019841313362122, 0.9015873074531555, 0.954365074634552], [0.3928571343421936, 0.8115079402923584, 0.928174614906311, 0.9626984000205994]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
2,hi10,2520,0.5405097007751465,0.41807445883750916,-0.31864896416664124,0.2652638852596283,0.04889804497361183,0.04889804497361183,"[0.04352978616952896, 0.02439252659678459, 0.16096018254756927, 0.042937833815813065, 0.08479564636945724, 0.0181278046220541, 0.0295365322381258, 0.013279303908348083, 0.023853372782468796, 0.04756749048829079]","[[0.46587300300598145, 0.7571428418159485, 0.8765873312950134, 0.9365079402923584], [0.4813492000102997, 0.7869047522544861, 0.8976190686225891, 0.9464285969734192], [0.283730149269104, 0.6357142925262451, 0.8003968000411987, 0.8900793790817261], [0.4511904716491699, 0.7682539820671082, 0.8742063641548157, 0.934920608997345], [0.4055555462837219, 0.7150793671607971, 0.8408730030059814, 0.9158729910850525], [0.48650792241096497, 0.7996031641960144, 0.9039682745933533, 0.9551587104797363], [0.47182539105415344, 0.7674603462219238, 0.8678571581840515, 0.9321428537368774], [0.5146825313568115, 0.7888888716697693, 0.886904776096344, 0.9333333373069763], [0.4841269850730896, 0.8019841313362122, 0.9115079641342163, 0.9539682269096375], [0.3920634984970093, 0.8138889074325562, 0.9309523701667786, 0.9607142806053162]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
3,lo10,2520,0.5468093156814575,0.43286290764808655,-0.30325740575790405,0.2576991021633148,0.07652336359024048,0.07652336359024048,"[0.06378233432769775, 0.022125251591205597, 0.08204613626003265, 0.3635600805282593, 0.06143574416637421, 0.05465764179825783, 0.03153995797038078, 0.016946585848927498, 0.02041582763195038, 0.048724059015512466]","[[0.4396825432777405, 0.7503968477249146, 0.8710317611694336, 0.9301587343215942], [0.5031746029853821, 0.7861111164093018, 0.8920634984970093, 0.9408730268478394], [0.4158730208873749, 0.7226190567016602, 0.8460317254066467, 0.9123015999794006], [0.11190476268529892, 0.4404761791229248, 0.6773809790611267, 0.8253968358039856], [0.45476189255714417, 0.7476190328598022, 0.8738095164299011, 0.9361110925674438], [0.460317462682724, 0.7611111402511597, 0.882539689540863, 0.9396825432777405], [0.4432539641857147, 0.7460317611694336, 0.8654761910438538, 0.9289682507514954], [0.5123015642166138, 0.8055555820465088, 0.8996031880378723, 0.9480158686637878], [0.49444442987442017, 0.7968254089355469, 0.9059523940086365, 0.954365074634552], [0.3996031880378723, 0.803174614906311, 0.9253968000411987, 0.9603174328804016]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
3,hi10,2520,0.5458782315254211,0.4300558567047119,-0.310111403465271,0.266791433095932,0.0700124055147171,0.0700124055147171,"[0.048194605857133865, 0.045018065720796585, 0.08214010298252106, 0.328361451625824, 0.03117748722434044, 0.059470035135746, 0.025003962218761444, 0.015237758867442608, 0.019512899219989777, 0.046007752418518066]","[[0.4888888895511627, 0.8063492178916931, 0.904365062713623, 0.958730161190033], [0.44206348061561584, 0.7535714507102966, 0.8773809671401978, 0.9353174567222595], [0.3980158865451813, 0.723809540271759, 0.8615079522132874, 0.9238095283508301], [0.15357142686843872, 0.4932539761066437, 0.696825385093689, 0.8468254208564758], [0.47857141494750977, 0.7964285612106323, 0.9067460298538208, 0.9551587104797363], [0.4694444537162781, 0.7448412775993347, 0.858730137348175, 0.9214285612106323], [0.5158730149269104, 0.8162698149681091, 0.9111111164093018, 0.961904764175415], [0.5249999761581421, 0.7988095283508301, 0.8876984119415283, 0.9357143044471741], [0.5023809671401978, 0.8079364895820618, 0.9079365134239197, 0.9591270089149475], [0.3996031880378723, 0.8115079402923584, 0.9297618865966797, 0.9623016119003296]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
4,lo10,2520,0.5402833223342896,0.42333245277404785,-0.3370562195777893,0.23961472511291504,0.07899747788906097,0.07899747788906097,"[0.05267174541950226, 0.04061124101281166, 0.04182548075914383, 0.07194037735462189, 0.3786463737487793, 0.08232153952121735, 0.030276576057076454, 0.025147903710603714, 0.01595136523246765, 0.05058225244283676]","[[0.45476189255714417, 0.7916666865348816, 0.904365062713623, 0.9571428298950195], [0.4861111044883728, 0.7698412537574768, 0.882539689540863, 0.9408730268478394], [0.5083333253860474, 0.8126984238624573, 0.9174603223800659, 0.9607142806053162], [0.42698413133621216, 0.716269850730896, 0.8361111283302307, 0.9075396656990051], [0.09404762089252472, 0.4436507821083069, 0.6996031999588013, 0.8503968119621277], [0.4218254089355469, 0.7146825194358826, 0.8365079164505005, 0.9099206328392029], [0.47063490748405457, 0.7698412537574768, 0.8861111402511597, 0.9416666626930237], [0.48174601793289185, 0.7916666865348816, 0.894444465637207, 0.9511904716491699], [0.4892857074737549, 0.7916666865348816, 0.8980158567428589, 0.9428571462631226], [0.3876984119415283, 0.8103174567222595, 0.9337301850318909, 0.9646825194358826]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
4,hi10,2520,0.5081570744514465,0.4020736813545227,-0.3843839764595032,0.24842475354671478,0.06534940749406815,0.06534940749406815,"[0.03223801776766777, 0.017480557784438133, 0.06611590087413788, 0.045891452580690384, 0.3394092321395874, 0.04513655975461006, 0.015089270658791065, 0.016242772340774536, 0.02378886751830578, 0.05210142582654953]","[[0.5083333253860474, 0.8246031999588013, 0.9174603223800659, 0.9567460417747498], [0.4873015880584717, 0.7892857193946838, 0.8972222208976746, 0.9507936239242554], [0.5496031641960144, 0.8424603343009949, 0.9234126806259155, 0.9579365253448486], [0.4714285731315613, 0.7634920477867126, 0.8742063641548157, 0.9392856955528259], [0.13333334028720856, 0.5071428418159485, 0.7448412775993347, 0.8710317611694336], [0.4615079462528229, 0.7658730149269104, 0.8801587224006653, 0.9345238208770752], [0.4968253970146179, 0.8043650984764099, 0.9115079641342163, 0.9623016119003296], [0.538095235824585, 0.8115079402923584, 0.8976190686225891, 0.9416666626930237], [0.48452380299568176, 0.7869047522544861, 0.9039682745933533, 0.9519841074943542], [0.36666667461395264, 0.8015872836112976, 0.9341269731521606, 0.9682539701461792]]",47,MeanPoolLinear_NLL,MeanPoolLinear_NLL,MeanPoolLinear_NLL_seed47,meanpool_linear,MeanPoolLinear,nll,NLL
