factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.507774293422699,0.39914196729660034,-0.36811551451683044,0.21769309043884277,0.05841640383005142,0.05841640383005142,"[0.16678139567375183, 0.019463252276182175, 0.05367491394281387, 0.03893450275063515, 0.06483237445354462, 0.07030302286148071, 0.07141852378845215, 0.02477293461561203, 0.024040019139647484, 0.04994301125407219]","[[0.2757936418056488, 0.6194444298744202, 0.8039682507514954, 0.9047619104385376], [0.4710317552089691, 0.7853174805641174, 0.8932539820671082, 0.9503968358039856], [0.4492063522338867, 0.7408730387687683, 0.8507936596870422, 0.9103174805641174], [0.4801587164402008, 0.7634920477867126, 0.8746031522750854, 0.9361110925674438], [0.4277777671813965, 0.7404761910438538, 0.8662698268890381, 0.9297618865966797], [0.4166666567325592, 0.7365079522132874, 0.8642857074737549, 0.928174614906311], [0.3738095164299011, 0.6821428537368774, 0.8353174328804016, 0.9154762029647827], [0.5027777552604675, 0.7809523940086365, 0.8837301731109619, 0.9376984238624573], [0.4630952477455139, 0.7765873074531555, 0.8964285850524902, 0.9527778029441833], [0.3888888955116272, 0.8333333134651184, 0.9492063522338867, 0.9757936596870422]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
0,hi10,2520,0.5150142312049866,0.3960990309715271,-0.34288865327835083,0.22410941123962402,0.05153616517782211,0.05153616517782211,"[0.13470646739006042, 0.0323229543864727, 0.04482119157910347, 0.05547109246253967, 0.04619595780968666, 0.04995875433087349, 0.03904648870229721, 0.023504823446273804, 0.051870621740818024, 0.03746333718299866]","[[0.3801587224006653, 0.6619047522544861, 0.7888888716697693, 0.8670634627342224], [0.45198413729667664, 0.757539689540863, 0.8722222447395325, 0.9257936477661133], [0.4563491940498352, 0.7547619342803955, 0.8654761910438538, 0.9261904954910278], [0.4392857253551483, 0.7531746029853821, 0.8730158805847168, 0.9353174567222595], [0.44484126567840576, 0.7626984119415283, 0.8813492059707642, 0.934920608997345], [0.45396825671195984, 0.7488095164299011, 0.8678571581840515, 0.9269841313362122], [0.44999998807907104, 0.7432539463043213, 0.8416666388511658, 0.9107142686843872], [0.45476189255714417, 0.761904776096344, 0.8789682388305664, 0.9357143044471741], [0.4357142746448517, 0.7531746029853821, 0.8678571581840515, 0.9329364895820618], [0.3789682686328888, 0.8043650984764099, 0.9047619104385376, 0.9484127163887024]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
1,lo10,2520,0.4958830773830414,0.37858158349990845,-0.41142523288726807,0.21175116300582886,0.046541884541511536,0.046541884541511536,"[0.04483193904161453, 0.09167753905057907, 0.057056646794080734, 0.05373310670256615, 0.04250752925872803, 0.03359038010239601, 0.016664814203977585, 0.032377857714891434, 0.04678856208920479, 0.046190470457077026]","[[0.4515872895717621, 0.7583333253860474, 0.8797619342803955, 0.9404761791229248], [0.38730159401893616, 0.6757936477661133, 0.8170635104179382, 0.898809552192688], [0.460317462682724, 0.7496031522750854, 0.8559523820877075, 0.9123015999794006], [0.4583333432674408, 0.7698412537574768, 0.8809523582458496, 0.9376984238624573], [0.44285714626312256, 0.7773809432983398, 0.882539689540863, 0.9464285969734192], [0.488095223903656, 0.7670634984970093, 0.8730158805847168, 0.9305555820465088], [0.4813492000102997, 0.7730158567428589, 0.8797619342803955, 0.9361110925674438], [0.48055556416511536, 0.7726190686225891, 0.8777777552604675, 0.9357143044471741], [0.4444444477558136, 0.7555555701255798, 0.8773809671401978, 0.9440476298332214], [0.3738095164299011, 0.8115079402923584, 0.9341269731521606, 0.9682539701461792]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
1,hi10,2520,0.4763951301574707,0.3656058609485626,-0.44346386194229126,0.19570639729499817,0.04442919045686722,0.04442919045686722,"[0.04487935081124306, 0.07725447416305542, 0.049204494804143906, 0.04596882686018944, 0.05422539636492729, 0.07474672049283981, 0.017049014568328857, 0.01053413562476635, 0.03122360073029995, 0.039205893874168396]","[[0.454365074634552, 0.7611111402511597, 0.8698412775993347, 0.9305555820465088], [0.38452380895614624, 0.684920608997345, 0.8297619223594666, 0.9095237851142883], [0.4424603283405304, 0.7515873312950134, 0.8615079522132874, 0.9313492178916931], [0.44999998807907104, 0.7638888955116272, 0.8753968477249146, 0.9305555820465088], [0.4571428596973419, 0.7595238089561462, 0.8670634627342224, 0.928174614906311], [0.41111111640930176, 0.726190447807312, 0.8424603343009949, 0.9126983880996704], [0.48571428656578064, 0.7801587581634521, 0.8916666507720947, 0.9464285969734192], [0.4992063343524933, 0.7908729910850525, 0.8920634984970093, 0.9444444179534912], [0.4694444537162781, 0.7726190686225891, 0.8805555701255798, 0.9420635104179382], [0.4047619104385376, 0.8448412418365479, 0.9412698149681091, 0.966269850730896]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
2,lo10,2520,0.5085689425468445,0.39519137144088745,-0.37189796566963196,0.2149108350276947,0.06289858371019363,0.06289858371019363,"[0.06503526121377945, 0.03051316738128662, 0.2538191080093384, 0.05180903151631355, 0.043039847165346146, 0.05259972810745239, 0.03310124948620796, 0.02261449210345745, 0.02986454963684082, 0.04658936709165573]","[[0.4337301552295685, 0.7392857074737549, 0.8634920716285706, 0.9277777671813965], [0.4615079462528229, 0.7468253970146179, 0.858730137348175, 0.925000011920929], [0.23730158805847168, 0.4920634925365448, 0.6773809790611267, 0.8055555820465088], [0.4432539641857147, 0.757539689540863, 0.8789682388305664, 0.940079391002655], [0.4650793671607971, 0.7992063760757446, 0.9007936716079712, 0.9519841074943542], [0.45396825671195984, 0.7551587224006653, 0.8650793433189392, 0.9337301850318909], [0.46269840002059937, 0.7527777552604675, 0.8765873312950134, 0.9373015761375427], [0.5087301731109619, 0.7984126806259155, 0.8936507701873779, 0.9436507821083069], [0.49047619104385376, 0.7789682745933533, 0.8892857432365417, 0.946825385093689], [0.38928571343421936, 0.8230158686637878, 0.938095211982727, 0.9678571224212646]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
2,hi10,2520,0.5371898412704468,0.4184759259223938,-0.2987467348575592,0.22585883736610413,0.06927908957004547,0.06927908957004547,"[0.07627072930335999, 0.03531603887677193, 0.20563529431819916, 0.07038747519254684, 0.11984353512525558, 0.04456125572323799, 0.03749798610806465, 0.016867516562342644, 0.040178313851356506, 0.04623273387551308]","[[0.4345238208770752, 0.7150793671607971, 0.8384920358657837, 0.9091269969940186], [0.4531745910644531, 0.7583333253860474, 0.8726190328598022, 0.9305555820465088], [0.25634920597076416, 0.5698412656784058, 0.7365079522132874, 0.8476190567016602], [0.43690475821495056, 0.7369047403335571, 0.8476190567016602, 0.9138888716697693], [0.37658730149269104, 0.6658729910850525, 0.8027777671813965, 0.8908730149269104], [0.45198413729667664, 0.7599206566810608, 0.8785714507102966, 0.9337301850318909], [0.4575396776199341, 0.7523809671401978, 0.8547618985176086, 0.9222221970558167], [0.49841269850730896, 0.7809523940086365, 0.875, 0.9265872836112976], [0.44682538509368896, 0.761904776096344, 0.8833333253860474, 0.9404761791229248], [0.39126983284950256, 0.8238095045089722, 0.9305555820465088, 0.9666666388511658]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
3,lo10,2520,0.5402374863624573,0.43127313256263733,-0.283832848072052,0.21965596079826355,0.09137657284736633,0.09137657284736633,"[0.09217799454927444, 0.02876068837940693, 0.10273542255163193, 0.3923422396183014, 0.0924973264336586, 0.06527531892061234, 0.041516341269016266, 0.019736189395189285, 0.0334252193570137, 0.0452989898622036]","[[0.40634921193122864, 0.7079365253448486, 0.8349206447601318, 0.9083333611488342], [0.46468254923820496, 0.754365086555481, 0.8694444298744202, 0.9289682507514954], [0.386904776096344, 0.6876984238624573, 0.8123015761375427, 0.8884920477867126], [0.09206349402666092, 0.37738096714019775, 0.6178571581840515, 0.783730149269104], [0.41309523582458496, 0.7055555582046509, 0.8376984000205994, 0.9170634746551514], [0.42896825075149536, 0.7265872955322266, 0.855555534362793, 0.9154762029647827], [0.4293650686740875, 0.7333333492279053, 0.8527777791023254, 0.9174603223800659], [0.507539689540863, 0.7976190447807312, 0.8924603462219238, 0.942460298538208], [0.46865078806877136, 0.7757936716079712, 0.8884920477867126, 0.9440476298332214], [0.3888888955116272, 0.8222222328186035, 0.928174614906311, 0.9599206447601318]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
3,hi10,2520,0.5425061583518982,0.4313982427120209,-0.28939273953437805,0.23182973265647888,0.08336303383111954,0.08336303383111954,"[0.04305862635374069, 0.05341695621609688, 0.11523448675870895, 0.3788642883300781, 0.05130273848772049, 0.07855772227048874, 0.023556994274258614, 0.01632324792444706, 0.03092862106859684, 0.04238666966557503]","[[0.4634920656681061, 0.7769841551780701, 0.8853174448013306, 0.9452381134033203], [0.4253968298435211, 0.7329365015029907, 0.8591269850730896, 0.9246031641960144], [0.37063491344451904, 0.6742063760757446, 0.8281745910644531, 0.8996031880378723], [0.11587301641702652, 0.4154762029647827, 0.6261904835700989, 0.7936508059501648], [0.43095237016677856, 0.7531746029853821, 0.875, 0.9357143044471741], [0.44206348061561584, 0.7134920358657837, 0.8365079164505005, 0.9063491821289062], [0.4972222149372101, 0.7976190447807312, 0.8992063403129578, 0.9515873193740845], [0.5103174448013306, 0.7908729910850525, 0.875, 0.9289682507514954], [0.46785715222358704, 0.776190459728241, 0.8873015642166138, 0.9472222328186035], [0.3960317373275757, 0.836904764175415, 0.9396825432777405, 0.9694444537162781]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
4,lo10,2520,0.5335894823074341,0.4224882125854492,-0.3154480457305908,0.20848330855369568,0.09133292734622955,0.09133292734622955,"[0.06729468703269958, 0.0428890660405159, 0.04072125628590584, 0.09450525045394897, 0.4241327941417694, 0.10060639679431915, 0.03352103382349014, 0.028281884267926216, 0.03428513929247856, 0.047091756016016006]","[[0.43015873432159424, 0.757539689540863, 0.8817460536956787, 0.9412698149681091], [0.46190476417541504, 0.7531746029853821, 0.8690476417541504, 0.9321428537368774], [0.4730158746242523, 0.7757936716079712, 0.8813492059707642, 0.9404761791229248], [0.40634921193122864, 0.6876984238624573, 0.8138889074325562, 0.8896825313568115], [0.0595238097012043, 0.34166666865348816, 0.6047618985176086, 0.7853174805641174], [0.4039682447910309, 0.692460298538208, 0.817460298538208, 0.8952381014823914], [0.4623015820980072, 0.7551587224006653, 0.8734126687049866, 0.9345238208770752], [0.4702380895614624, 0.7817460298538208, 0.8845238089561462, 0.942460298538208], [0.45793649554252625, 0.766269862651825, 0.8809523582458496, 0.9365079402923584], [0.3829365074634552, 0.821825385093689, 0.9420635104179382, 0.9718254208564758]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
4,hi10,2520,0.5073097944259644,0.40542149543762207,-0.3610287606716156,0.21767723560333252,0.07475226372480392,0.07475226372480392,"[0.029945898801088333, 0.023360321298241615, 0.052642304450273514, 0.06320387870073318, 0.40533825755119324, 0.05798080936074257, 0.02047586999833584, 0.01310466043651104, 0.03220713883638382, 0.049263544380664825]","[[0.4781745970249176, 0.7928571701049805, 0.8984127044677734, 0.9460317492485046], [0.45873016119003296, 0.7646825313568115, 0.8853174448013306, 0.9396825432777405], [0.5154761672019958, 0.8154761791229248, 0.9099206328392029, 0.9515873193740845], [0.44801586866378784, 0.7376984357833862, 0.8480158448219299, 0.9194444417953491], [0.07658730447292328, 0.40634921193122864, 0.6634920835494995, 0.8182539939880371], [0.42658731341362, 0.7325396537780762, 0.8575396537780762, 0.9182539582252502], [0.4869047701358795, 0.7884920835494995, 0.8992063403129578, 0.9519841074943542], [0.5249999761581421, 0.803174614906311, 0.8857142925262451, 0.934920608997345], [0.46190476417541504, 0.7666666507720947, 0.8845238089561462, 0.9428571462631226], [0.3619047701358795, 0.8186507821083069, 0.9345238208770752, 0.9726190567016602]]",46,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR,MeanPoolLinear_RESVAR_seed46,meanpool_linear,MeanPoolLinear,residual_variance_reg,RESVAR
