factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.35513776540756226,0.26712605357170105,-0.8193230628967285,0.13395698368549347,0.020897384732961655,0.020897384732961655,"[0.039843205362558365, 0.019689617678523064, 0.01758650876581669, 0.02973591536283493, 0.024036971852183342, 0.022607186809182167, 0.010752741247415543, 0.01951691508293152, 0.01689145527780056, 0.00831333827227354]","[[0.4436507821083069, 0.7757936716079712, 0.8805555701255798, 0.9345238208770752], [0.4722222089767456, 0.7658730149269104, 0.8761904835700989, 0.9333333373069763], [0.52182537317276, 0.8194444179534912, 0.904365062713623, 0.9440476298332214], [0.5440475940704346, 0.8234127163887024, 0.9019841551780701, 0.9432539939880371], [0.5047619342803955, 0.7813491821289062, 0.8873015642166138, 0.936904788017273], [0.5059523582458496, 0.7876983880996704, 0.8920634984970093, 0.9376984238624573], [0.48571428656578064, 0.7853174805641174, 0.8809523582458496, 0.9289682507514954], [0.4742063581943512, 0.7630952596664429, 0.8761904835700989, 0.9420635104179382], [0.5063492059707642, 0.7988095283508301, 0.8999999761581421, 0.9535714387893677], [0.6186507940292358, 0.8908730149269104, 0.9591270089149475, 0.9896825551986694]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
0,hi10,2520,0.3720763325691223,0.27908530831336975,-0.7519184947013855,0.14671696722507477,0.022713597863912582,0.022713597863912582,"[0.047986868768930435, 0.019566424190998077, 0.018333541229367256, 0.034418124705553055, 0.017829274758696556, 0.025360722094774246, 0.01926501654088497, 0.015395969152450562, 0.024276994168758392, 0.004703032784163952]","[[0.4555555582046509, 0.7476190328598022, 0.8547618985176086, 0.9234126806259155], [0.45277777314186096, 0.7496031522750854, 0.8678571581840515, 0.9257936477661133], [0.49563491344451904, 0.7869047522544861, 0.8809523582458496, 0.9301587343215942], [0.5404762029647827, 0.8400793671607971, 0.9142857193946838, 0.946825385093689], [0.5317460298538208, 0.8134920597076416, 0.8980158567428589, 0.9396825432777405], [0.5146825313568115, 0.7984126806259155, 0.8904761672019958, 0.936904788017273], [0.48571428656578064, 0.7869047522544861, 0.882539689540863, 0.932539701461792], [0.48373016715049744, 0.7777777910232544, 0.8797619342803955, 0.9376984238624573], [0.47857141494750977, 0.7865079641342163, 0.8932539820671082, 0.9432539939880371], [0.5484126806259155, 0.8436508178710938, 0.9289682507514954, 0.9682539701461792]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
1,lo10,2520,0.3473336398601532,0.25855618715286255,-0.8345625400543213,0.13141261041164398,0.02301955595612526,0.02301955595612526,"[0.020295802503824234, 0.03698837757110596, 0.018015127629041672, 0.030370105057954788, 0.020368238911032677, 0.035138316452503204, 0.016536535695195198, 0.014365560375154018, 0.029923299327492714, 0.008194186724722385]","[[0.49246031045913696, 0.7888888716697693, 0.8892857432365417, 0.9412698149681091], [0.5773809552192688, 0.8678571581840515, 0.9456349015235901, 0.9730158448219299], [0.5253968238830566, 0.817460298538208, 0.9039682745933533, 0.9460317492485046], [0.5571428537368774, 0.8400793671607971, 0.916269838809967, 0.9555555582046509], [0.5047619342803955, 0.7984126806259155, 0.8849206566810608, 0.932539701461792], [0.5289682745933533, 0.7916666865348816, 0.8857142925262451, 0.9317460060119629], [0.47261905670166016, 0.7678571343421936, 0.8769841194152832, 0.9301587343215942], [0.4892857074737549, 0.7714285850524902, 0.8753968477249146, 0.9412698149681091], [0.47976189851760864, 0.7805555462837219, 0.886904776096344, 0.9392856955528259], [0.6166666746139526, 0.8773809671401978, 0.9571428298950195, 0.9849206209182739]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
1,hi10,2520,0.3526318669319153,0.2658587396144867,-0.7996538877487183,0.12766310572624207,0.025718936696648598,0.025718936696648598,"[0.022949500009417534, 0.08134978264570236, 0.014592060819268227, 0.031072434037923813, 0.03518913313746452, 0.024821819737553596, 0.01389587763696909, 0.012975637800991535, 0.01493337657302618, 0.005409759934991598]","[[0.4920634925365448, 0.7833333611488342, 0.8781746029853821, 0.9384920597076416], [0.3162698447704315, 0.6154761910438538, 0.766269862651825, 0.858730137348175], [0.4873015880584717, 0.7884920835494995, 0.8853174448013306, 0.9309523701667786], [0.5376983880996704, 0.8242063522338867, 0.8999999761581421, 0.9428571462631226], [0.5059523582458496, 0.8043650984764099, 0.8924603462219238, 0.9436507821083069], [0.5083333253860474, 0.8007936477661133, 0.898809552192688, 0.9472222328186035], [0.4928571283817291, 0.7857142686843872, 0.886904776096344, 0.934920608997345], [0.4829365015029907, 0.7873015999794006, 0.8849206566810608, 0.9436507821083069], [0.5174603462219238, 0.7940475940704346, 0.8952381014823914, 0.9515873193740845], [0.5757936239242554, 0.8682539463043213, 0.940079391002655, 0.9750000238418579]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
2,lo10,2520,0.3586212694644928,0.26998254656791687,-0.7934921979904175,0.14068491756916046,0.019903836771845818,0.019903836771845818,"[0.01819678582251072, 0.017341069877147675, 0.04090176522731781, 0.02348265051841736, 0.029115399345755577, 0.020869679749011993, 0.012379885651171207, 0.015011042356491089, 0.016107462346553802, 0.005632624961435795]","[[0.5, 0.7892857193946838, 0.8845238089561462, 0.9404761791229248], [0.4571428596973419, 0.7539682388305664, 0.8654761910438538, 0.9253968000411987], [0.4928571283817291, 0.7944444417953491, 0.8861111402511597, 0.936904788017273], [0.5373015999794006, 0.8178571462631226, 0.8996031880378723, 0.9492063522338867], [0.5190476179122925, 0.8134920597076416, 0.9031745791435242, 0.9428571462631226], [0.5285714268684387, 0.8166666626930237, 0.9075396656990051, 0.9496031999588013], [0.4730158746242523, 0.779365062713623, 0.879365086555481, 0.9361110925674438], [0.49960318207740784, 0.7876983880996704, 0.8865079283714294, 0.9464285969734192], [0.49563491344451904, 0.8027777671813965, 0.9015873074531555, 0.9488095045089722], [0.5349206328392029, 0.8492063283920288, 0.9404761791229248, 0.9789682626724243]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
2,hi10,2520,0.4179038107395172,0.32074475288391113,-0.616062343120575,0.1641702651977539,0.03713332489132881,0.03713332489132881,"[0.034064240753650665, 0.03523360937833786, 0.12305350601673126, 0.02521807700395584, 0.06525488942861557, 0.02167816460132599, 0.021441113203763962, 0.01797618716955185, 0.02039347216486931, 0.007019952405244112]","[[0.4623015820980072, 0.761904776096344, 0.8599206209182739, 0.9182539582252502], [0.43293651938438416, 0.7265872955322266, 0.8468254208564758, 0.9075396656990051], [0.34285715222358704, 0.6428571343421936, 0.7833333611488342, 0.8638888597488403], [0.5023809671401978, 0.795634925365448, 0.8865079283714294, 0.938095211982727], [0.4317460358142853, 0.7293650507926941, 0.8440476059913635, 0.9115079641342163], [0.4960317313671112, 0.7924603223800659, 0.8956349492073059, 0.9476190209388733], [0.48849207162857056, 0.7646825313568115, 0.8670634627342224, 0.9242063760757446], [0.4912698268890381, 0.7805555462837219, 0.8805555701255798, 0.9345238208770752], [0.4900793731212616, 0.7896825671195984, 0.8900793790817261, 0.9376984238624573], [0.5730158686637878, 0.863095223903656, 0.9444444179534912, 0.976190447807312]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
3,lo10,2520,0.39875510334968567,0.31181785464286804,-0.6523573398590088,0.14567311108112335,0.05038928985595703,0.05038928985595703,"[0.018627768382430077, 0.0319330096244812, 0.07133607566356659, 0.2417675256729126, 0.02695530652999878, 0.06643278896808624, 0.01102302223443985, 0.013730927370488644, 0.01685405895113945, 0.005232431460171938]","[[0.5087301731109619, 0.7928571701049805, 0.8738095164299011, 0.9293650984764099], [0.4531745910644531, 0.7384920716285706, 0.8476190567016602, 0.9047619104385376], [0.4246031641960144, 0.7138888835906982, 0.8226190209388733, 0.8817460536956787], [0.24642856419086456, 0.5519841313362122, 0.7067460417747498, 0.8210317492485046], [0.4988095164299011, 0.7972221970558167, 0.8813492059707642, 0.9301587343215942], [0.45793649554252625, 0.7646825313568115, 0.870634913444519, 0.9242063760757446], [0.4912698268890381, 0.7932539582252502, 0.8932539820671082, 0.9444444179534912], [0.48055556416511536, 0.7865079641342163, 0.8845238089561462, 0.9440476298332214], [0.5019841194152832, 0.8011904954910278, 0.9075396656990051, 0.954365074634552], [0.5365079641342163, 0.845634937286377, 0.9408730268478394, 0.9785714149475098]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
3,hi10,2520,0.4108719229698181,0.31602874398231506,-0.6709649562835693,0.169443279504776,0.039741769433021545,0.039741769433021545,"[0.03027011826634407, 0.01729176938533783, 0.03705773502588272, 0.18228040635585785, 0.028570473194122314, 0.0414220429956913, 0.013356829062104225, 0.01925002597272396, 0.020543690770864487, 0.00737462192773819]","[[0.5023809671401978, 0.7964285612106323, 0.8916666507720947, 0.9365079402923584], [0.46388888359069824, 0.7595238089561462, 0.8714285492897034, 0.9317460060119629], [0.4813492000102997, 0.77182537317276, 0.8666666746139526, 0.9126983880996704], [0.3043650686740875, 0.6305555701255798, 0.7742063403129578, 0.8662698268890381], [0.5329365134239197, 0.817460298538208, 0.904365062713623, 0.946825385093689], [0.4861111044883728, 0.7535714507102966, 0.8662698268890381, 0.9170634746551514], [0.516269862651825, 0.8123015761375427, 0.8992063403129578, 0.9428571462631226], [0.4853174686431885, 0.7753968238830566, 0.8849206566810608, 0.9448412656784058], [0.5091269612312317, 0.8107143044471741, 0.9079365134239197, 0.9595237970352173], [0.6059523820877075, 0.8865079283714294, 0.9551587104797363, 0.9865079522132874]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
4,lo10,2520,0.3856674134731293,0.2958265244960785,-0.7264434695243835,0.12670102715492249,0.0497785285115242,0.0497785285115242,"[0.01897028274834156, 0.030571050941944122, 0.028155233711004257, 0.07308310270309448, 0.19478768110275269, 0.09343714267015457, 0.011980978772044182, 0.01989295892417431, 0.018985994160175323, 0.007920905016362667]","[[0.5071428418159485, 0.8063492178916931, 0.8940476179122925, 0.940079391002655], [0.4285714328289032, 0.7376984357833862, 0.85317462682724, 0.9186508059501648], [0.4615079462528229, 0.7742063403129578, 0.8777777552604675, 0.9246031641960144], [0.4297619163990021, 0.6992063522338867, 0.8023809790611267, 0.8769841194152832], [0.3083333373069763, 0.6210317611694336, 0.776190459728241, 0.8615079522132874], [0.4138889014720917, 0.6936507821083069, 0.8079364895820618, 0.8801587224006653], [0.5079365372657776, 0.8067460060119629, 0.89682537317276, 0.9476190209388733], [0.507539689540863, 0.7861111164093018, 0.8813492059707642, 0.9416666626930237], [0.4980158805847168, 0.7964285612106323, 0.8928571343421936, 0.9448412656784058], [0.5797619223594666, 0.8714285492897034, 0.9515873193740845, 0.9857142567634583]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
4,hi10,2520,0.3829927444458008,0.2958858907222748,-0.7432077527046204,0.13894444704055786,0.052042342722415924,0.052042342722415924,"[0.02978662960231304, 0.02300436422228813, 0.03198488801717758, 0.05812418833374977, 0.2772868573665619, 0.043771784752607346, 0.014478109776973724, 0.016898728907108307, 0.019543856382369995, 0.005544017534703016]","[[0.5535714030265808, 0.8198412656784058, 0.8996031880378723, 0.9452381134033203], [0.45674604177474976, 0.7376984357833862, 0.8638888597488403, 0.9218254089355469], [0.5769841074943542, 0.8301587104797363, 0.9119047522544861, 0.949999988079071], [0.4642857015132904, 0.7539682388305664, 0.8623015880584717, 0.9134920835494995], [0.22261904180049896, 0.5436508059501648, 0.7186508178710938, 0.8234127163887024], [0.47063490748405457, 0.7484126687049866, 0.8654761910438538, 0.9214285612106323], [0.5154761672019958, 0.815079391002655, 0.9051587581634521, 0.949999988079071], [0.5003968477249146, 0.7964285612106323, 0.891269862651825, 0.9408730268478394], [0.4948412775993347, 0.7869047522544861, 0.9007936716079712, 0.9523809552192688], [0.565079391002655, 0.8626984357833862, 0.9436507821083069, 0.9841269850730896]]",47,MeanPoolMLP_NLL,MeanPoolMLP_NLL,MeanPoolMLP_NLL_seed47,meanpool,MeanPoolMLP,nll,NLL
