factor_j,slice,n,rmse_mean,mae_mean,nll,sharp,reg_ece,reg_ece_pf_mean,reg_ece_pf,coverage_pf_50_80_90_95,seed,model,experiment_name,run_id,architecture,architecture_tag,loss_mode,loss_tag
0,lo10,2520,0.3596716523170471,0.274203360080719,-0.7693060040473938,0.12048374861478806,0.03233979269862175,0.03233979269862175,"[0.08149143308401108, 0.017087863758206367, 0.04252922162413597, 0.03771749883890152, 0.042880259454250336, 0.036022305488586426, 0.022100158035755157, 0.016982020810246468, 0.021145347505807877, 0.005441843066364527]","[[0.3662698268890381, 0.6829364895820618, 0.8265873193740845, 0.9134920835494995], [0.4773809611797333, 0.7571428418159485, 0.8650793433189392, 0.9222221970558167], [0.4452380836009979, 0.7376984357833862, 0.8543650507926941, 0.9166666865348816], [0.49841269850730896, 0.7916666865348816, 0.8797619342803955, 0.9273809790611267], [0.49444442987442017, 0.7690476179122925, 0.8765873312950134, 0.9230158925056458], [0.5091269612312317, 0.7952380776405334, 0.891269862651825, 0.940079391002655], [0.454365074634552, 0.7436507940292358, 0.8515872955322266, 0.9194444417953491], [0.45476189255714417, 0.773809552192688, 0.8896825313568115, 0.9484127163887024], [0.4742063581943512, 0.7749999761581421, 0.8861111402511597, 0.9392856955528259], [0.5095238089561462, 0.845634937286377, 0.9353174567222595, 0.9750000238418579]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
0,hi10,2520,0.3630329966545105,0.27315205335617065,-0.7601891756057739,0.1270047277212143,0.027011359110474586,0.027011359110474586,"[0.03943682461977005, 0.031275536864995956, 0.018331699073314667, 0.03405799716711044, 0.0378817617893219, 0.031615421175956726, 0.012645085342228413, 0.013637229800224304, 0.04455108195543289, 0.0066809575073421]","[[0.5142857432365417, 0.8178571462631226, 0.9083333611488342, 0.9523809552192688], [0.44285714626312256, 0.7345238327980042, 0.8420634865760803, 0.9095237851142883], [0.4960317313671112, 0.7920634746551514, 0.8865079283714294, 0.9357143044471741], [0.47380951046943665, 0.7769841551780701, 0.8710317611694336, 0.9253968000411987], [0.5071428418159485, 0.7857142686843872, 0.8821428418159485, 0.9313492178916931], [0.4908730089664459, 0.7853174805641174, 0.8805555701255798, 0.9341269731521606], [0.4849206209182739, 0.7722222208976746, 0.879365086555481, 0.9289682507514954], [0.4841269850730896, 0.7753968238830566, 0.8861111402511597, 0.9392856955528259], [0.4503968358039856, 0.757539689540863, 0.863095223903656, 0.9289682507514954], [0.5420634746551514, 0.8313491940498352, 0.9178571701049805, 0.9579365253448486]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
1,lo10,2520,0.34856122732162476,0.26283183693885803,-0.7978203892707825,0.12130386382341385,0.02659950777888298,0.02659950777888298,"[0.019173219799995422, 0.025521066039800644, 0.03837711364030838, 0.033765073865652084, 0.025988174602389336, 0.0343843437731266, 0.01907949149608612, 0.021823933348059654, 0.04194724187254906, 0.00593543192371726]","[[0.4912698268890381, 0.7976190447807312, 0.8996031880378723, 0.946825385093689], [0.5682539939880371, 0.8496031761169434, 0.9289682507514954, 0.9702380895614624], [0.4555555582046509, 0.7603174448013306, 0.8626984357833862, 0.9166666865348816], [0.5091269612312317, 0.7841269969940186, 0.8757936358451843, 0.9293650984764099], [0.5134920477867126, 0.8007936477661133, 0.882539689540863, 0.9269841313362122], [0.5178571343421936, 0.7805555462837219, 0.8746031522750854, 0.9297618865966797], [0.4615079462528229, 0.7611111402511597, 0.867460310459137, 0.9174603223800659], [0.48373016715049744, 0.7734127044677734, 0.894444465637207, 0.9488095045089722], [0.4591269791126251, 0.7658730149269104, 0.8738095164299011, 0.9317460060119629], [0.5126984119415283, 0.8289682269096375, 0.9218254089355469, 0.9630952477455139]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
1,hi10,2520,0.3443896472454071,0.2587392032146454,-0.8094087839126587,0.11107363551855087,0.03043706715106964,0.03043706715106964,"[0.02117847092449665, 0.08021369576454163, 0.03122185543179512, 0.035760100930929184, 0.047012653201818466, 0.03443846479058266, 0.013365807011723518, 0.012179679237306118, 0.02336958236992359, 0.0056303637102246284]","[[0.47182539105415344, 0.7746031880378723, 0.879365086555481, 0.9388889074325562], [0.3265872895717621, 0.6269841194152832, 0.7634920477867126, 0.8650793433189392], [0.4531745910644531, 0.745634913444519, 0.8575396537780762, 0.9182539582252502], [0.5039682388305664, 0.7873015999794006, 0.8829365372657776, 0.9293650984764099], [0.4861111044883728, 0.783730149269104, 0.8722222447395325, 0.9257936477661133], [0.5067460536956787, 0.807539701461792, 0.9039682745933533, 0.946825385093689], [0.4781745970249176, 0.7781745791435242, 0.8861111402511597, 0.9357143044471741], [0.47460317611694336, 0.7797619104385376, 0.8837301731109619, 0.9416666626930237], [0.4972222149372101, 0.7936508059501648, 0.891269862651825, 0.9444444179534912], [0.5206349492073059, 0.8452380895614624, 0.9341269731521606, 0.9670634865760803]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
2,lo10,2520,0.3659431040287018,0.27976903319358826,-0.7473160624504089,0.12509965896606445,0.03776426240801811,0.03776426240801811,"[0.026021143421530724, 0.016614040359854698, 0.16236115992069244, 0.032263051718473434, 0.0359327457845211, 0.03715691715478897, 0.016295630484819412, 0.0177907757461071, 0.026173830032348633, 0.007033357862383127]","[[0.4968253970146179, 0.7884920835494995, 0.8857142925262451, 0.936904788017273], [0.46388888359069824, 0.7654761672019958, 0.8801587224006653, 0.9388889074325562], [0.27023810148239136, 0.5682539939880371, 0.7250000238418579, 0.8253968358039856], [0.49365079402923584, 0.7698412537574768, 0.8757936358451843, 0.9321428537368774], [0.49365079402923584, 0.7928571701049805, 0.8936507701873779, 0.9361110925674438], [0.5198412537574768, 0.8079364895820618, 0.9023809432983398, 0.942460298538208], [0.46984127163887024, 0.77182537317276, 0.8761904835700989, 0.928174614906311], [0.4892857074737549, 0.7849206328392029, 0.8932539820671082, 0.9472222328186035], [0.49444442987442017, 0.7916666865348816, 0.8904761672019958, 0.9444444179534912], [0.5099206566810608, 0.8353174328804016, 0.9253968000411987, 0.9694444537162781]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
2,hi10,2520,0.394699364900589,0.30085888504981995,-0.6547402143478394,0.1415521651506424,0.03429391607642174,0.03429391607642174,"[0.018399814143776894, 0.050709500908851624, 0.02415640465915203, 0.053156428039073944, 0.06981713324785233, 0.02954302355647087, 0.02862478420138359, 0.01929890736937523, 0.042598482221364975, 0.006634674500674009]","[[0.4833333194255829, 0.7900793552398682, 0.8829365372657776, 0.9404761791229248], [0.40039682388305664, 0.708730161190033, 0.8269841074943542, 0.89682537317276], [0.5051587224006653, 0.7916666865348816, 0.8777777552604675, 0.9253968000411987], [0.4595237970352173, 0.754365086555481, 0.8515872955322266, 0.9099206328392029], [0.4436507821083069, 0.7226190567016602, 0.8297619223594666, 0.9007936716079712], [0.48849207162857056, 0.7849206328392029, 0.8920634984970093, 0.9436507821083069], [0.4694444537162781, 0.7591269612312317, 0.8638888597488403, 0.9222221970558167], [0.4761904776096344, 0.7825396656990051, 0.8761904835700989, 0.934920608997345], [0.4654761850833893, 0.754365086555481, 0.8694444298744202, 0.9269841313362122], [0.5222222208976746, 0.8285714387893677, 0.9269841313362122, 0.9670634865760803]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
3,lo10,2520,0.3883086144924164,0.30362242460250854,-0.6640645861625671,0.12635044753551483,0.05195946246385574,0.05195946246385574,"[0.019042840227484703, 0.02324538305401802, 0.026541735976934433, 0.2874695360660553, 0.04706074297428131, 0.061424028128385544, 0.014613203704357147, 0.011501341126859188, 0.022523336112499237, 0.006172466091811657]","[[0.49841269850730896, 0.788095235824585, 0.8916666507720947, 0.9408730268478394], [0.4615079462528229, 0.7432539463043213, 0.855555534362793, 0.9150793552398682], [0.4710317552089691, 0.7710317373275757, 0.8682539463043213, 0.920634925365448], [0.204365074634552, 0.4714285731315613, 0.6428571343421936, 0.7642857432365417], [0.4888888895511627, 0.7603174448013306, 0.8615079522132874, 0.9170634746551514], [0.4273809492588043, 0.7269841432571411, 0.848809540271759, 0.9123015999794006], [0.47658729553222656, 0.7908729910850525, 0.8924603462219238, 0.9428571462631226], [0.4702380895614624, 0.7876983880996704, 0.8924603462219238, 0.9492063522338867], [0.47380951046943665, 0.7865079641342163, 0.8900793790817261, 0.9436507821083069], [0.5313491821289062, 0.8515872955322266, 0.9353174567222595, 0.9694444537162781]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
3,hi10,2520,0.40456485748291016,0.31235450506210327,-0.6588744521141052,0.15304723381996155,0.04521540179848671,0.04521540179848671,"[0.02924094907939434, 0.033968016505241394, 0.06690391153097153, 0.17468811571598053, 0.035820864140987396, 0.046517085283994675, 0.011080283671617508, 0.018893277272582054, 0.029200052842497826, 0.005841452162712812]","[[0.5083333253860474, 0.8126984238624573, 0.9047619104385376, 0.9456349015235901], [0.4404761791229248, 0.7301587462425232, 0.8468254208564758, 0.9234126806259155], [0.4642857015132904, 0.7531746029853821, 0.8571428656578064, 0.9166666865348816], [0.3023809492588043, 0.613095223903656, 0.769444465637207, 0.858730137348175], [0.49960318207740784, 0.7861111164093018, 0.8777777552604675, 0.9313492178916931], [0.4761904776096344, 0.7555555701255798, 0.8535714149475098, 0.9123015999794006], [0.5246031880378723, 0.8051587343215942, 0.8992063403129578, 0.942460298538208], [0.4682539701461792, 0.7785714268684387, 0.891269862651825, 0.9539682269096375], [0.5007936358451843, 0.8051587343215942, 0.8972222208976746, 0.9488095045089722], [0.5202381014823914, 0.841269850730896, 0.9242063760757446, 0.9638888835906982]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
4,lo10,2520,0.3817988634109497,0.2933298945426941,-0.6990980505943298,0.11666105687618256,0.059729646891355515,0.059729646891355515,"[0.01969273015856743, 0.04132181033492088, 0.024663537740707397, 0.09649235010147095, 0.2574230134487152, 0.08986548334360123, 0.012429866939783096, 0.018619347363710403, 0.028537271544337273, 0.008251046761870384]","[[0.5563492178916931, 0.8357142806053162, 0.9186508059501648, 0.9583333134651184], [0.42023810744285583, 0.7190476059913635, 0.8384920358657837, 0.9071428775787354], [0.5761904716491699, 0.8400793671607971, 0.9253968000411987, 0.9603174328804016], [0.40119048953056335, 0.6666666865348816, 0.7742063403129578, 0.8507936596870422], [0.25238096714019775, 0.5087301731109619, 0.6638888716697693, 0.7873015999794006], [0.42023810744285583, 0.6888889074325562, 0.8111110925674438, 0.8809523582458496], [0.4988095164299011, 0.7960317730903625, 0.8980158567428589, 0.9440476298332214], [0.4793650805950165, 0.7892857193946838, 0.8865079283714294, 0.946825385093689], [0.47063490748405457, 0.7753968238830566, 0.8908730149269104, 0.9412698149681091], [0.5436508059501648, 0.8313491940498352, 0.925000011920929, 0.9654762148857117]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
4,hi10,2520,0.36945101618766785,0.2866436541080475,-0.7430448532104492,0.12662853300571442,0.047207750380039215,0.047207750380039215,"[0.03769128397107124, 0.021824264898896217, 0.02926773764193058, 0.07625552266836166, 0.20758290588855743, 0.042395032942295074, 0.009461779147386551, 0.01401588972657919, 0.027467958629131317, 0.00611511617898941]","[[0.5571428537368774, 0.8500000238418579, 0.9289682507514954, 0.9634920358657837], [0.45992064476013184, 0.7511904835700989, 0.8591269850730896, 0.9285714030265808], [0.5111111402511597, 0.7932539582252502, 0.9023809432983398, 0.9480158686637878], [0.4273809492588043, 0.7103174328804016, 0.8202381134033203, 0.8849206566810608], [0.27142858505249023, 0.6000000238418579, 0.7638888955116272, 0.8527777791023254], [0.4472222328186035, 0.7480158805847168, 0.8607142567634583, 0.916269838809967], [0.52182537317276, 0.8194444179534912, 0.9075396656990051, 0.9484127163887024], [0.49166667461395264, 0.7777777910232544, 0.8992063403129578, 0.9456349015235901], [0.48174601793289185, 0.7753968238830566, 0.8817460536956787, 0.9428571462631226], [0.4972222149372101, 0.8242063522338867, 0.9222221970558167, 0.9642857313156128]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
5,lo10,2520,0.4022640585899353,0.3142715096473694,-0.6714039444923401,0.14607910811901093,0.05108428746461868,0.05108428746461868,"[0.016287656500935555, 0.04172404482960701, 0.01999051496386528, 0.057524703443050385, 0.044298991560935974, 0.26636651158332825, 0.01422195415943861, 0.014221793971955776, 0.029566962271928787, 0.00663969898596406]","[[0.5178571343421936, 0.813095211982727, 0.9103174805641174, 0.954365074634552], [0.41309523582458496, 0.7083333134651184, 0.8230158686637878, 0.901190459728241], [0.4900793731212616, 0.7765873074531555, 0.8821428418159485, 0.9373015761375427], [0.4317460358142853, 0.7365079522132874, 0.8440476059913635, 0.9075396656990051], [0.5023809671401978, 0.7888888716697693, 0.8833333253860474, 0.9293650984764099], [0.1686507910490036, 0.5702381134033203, 0.7646825313568115, 0.8670634627342224], [0.526190459728241, 0.807539701461792, 0.8948412537574768, 0.940079391002655], [0.494047611951828, 0.7896825671195984, 0.8976190686225891, 0.9452381134033203], [0.48452380299568176, 0.7892857193946838, 0.8849206566810608, 0.9428571462631226], [0.5297619104385376, 0.8432539701461792, 0.9365079402923584, 0.9734126925468445]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
5,hi10,2520,0.39570051431655884,0.30572229623794556,-0.6682274341583252,0.12511807680130005,0.05777423456311226,0.05777423456311226,"[0.02839583531022072, 0.03646540269255638, 0.043145183473825455, 0.08873137086629868, 0.04548728093504906, 0.27354004979133606, 0.008625969290733337, 0.01727365143597126, 0.02942712977528572, 0.006650517228990793]","[[0.5305555462837219, 0.8023809790611267, 0.9055555462837219, 0.9432539939880371], [0.44484126567840576, 0.7309523820877075, 0.8309524059295654, 0.8952381014823914], [0.4623015820980072, 0.7559523582458496, 0.8626984357833862, 0.9158729910850525], [0.4297619163990021, 0.7035714387893677, 0.8107143044471741, 0.8698412775993347], [0.47460317611694336, 0.7583333253860474, 0.8670634627342224, 0.9210317730903625], [0.2420634925365448, 0.5269841551780701, 0.7015873193740845, 0.811904788017273], [0.5095238089561462, 0.7948412895202637, 0.891269862651825, 0.9476190209388733], [0.48650792241096497, 0.7833333611488342, 0.8896825313568115, 0.9503968358039856], [0.48571428656578064, 0.7920634746551514, 0.8841269612312317, 0.9373015761375427], [0.5496031641960144, 0.8503968119621277, 0.9309523701667786, 0.9674603343009949]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
6,lo10,2520,0.36981481313705444,0.28091537952423096,-0.7346476912498474,0.13775604963302612,0.02873200550675392,0.02873200550675392,"[0.02752547524869442, 0.020574187859892845, 0.023136088624596596, 0.03055202029645443, 0.03879803419113159, 0.03187477961182594, 0.05448666214942932, 0.022965295240283012, 0.030339553952217102, 0.00706794997677207]","[[0.5091269612312317, 0.7992063760757446, 0.9007936716079712, 0.9484127163887024], [0.48174601793289185, 0.788095235824585, 0.8726190328598022, 0.9253968000411987], [0.5047619342803955, 0.788095235824585, 0.8849206566810608, 0.9373015761375427], [0.4992063343524933, 0.7873015999794006, 0.8853174448013306, 0.9277777671813965], [0.507539689540863, 0.7936508059501648, 0.8960317373275757, 0.9484127163887024], [0.5087301731109619, 0.817460298538208, 0.9079365134239197, 0.9511904716491699], [0.3829365074634552, 0.690079391002655, 0.8178571462631226, 0.8888888955116272], [0.4813492000102997, 0.7817460298538208, 0.8861111402511597, 0.9484127163887024], [0.47658729553222656, 0.7797619104385376, 0.8833333253860474, 0.9337301850318909], [0.5019841194152832, 0.8166666626930237, 0.9083333611488342, 0.9603174328804016]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
6,hi10,2520,0.3566150665283203,0.26742666959762573,-0.789327085018158,0.13089263439178467,0.02366221509873867,0.02366221509873867,"[0.029308313503861427, 0.006598526146262884, 0.020876482129096985, 0.03325788304209709, 0.030901791527867317, 0.03318897262215614, 0.021566001698374748, 0.02081066370010376, 0.03238151967525482, 0.007731984835118055]","[[0.5535714030265808, 0.8448412418365479, 0.920634925365448, 0.9563491940498352], [0.5067460536956787, 0.791269838809967, 0.8936507701873779, 0.9388889074325562], [0.49841269850730896, 0.783730149269104, 0.8837301731109619, 0.9388889074325562], [0.4920634925365448, 0.7714285850524902, 0.8742063641548157, 0.9234126806259155], [0.5083333253860474, 0.7809523940086365, 0.8805555701255798, 0.9321428537368774], [0.5281745791435242, 0.8126984238624573, 0.9067460298538208, 0.9523809552192688], [0.48253968358039856, 0.7746031880378723, 0.8769841194152832, 0.9297618865966797], [0.47380951046943665, 0.773809552192688, 0.8813492059707642, 0.9253968000411987], [0.4761904776096344, 0.7599206566810608, 0.8603174686431885, 0.9182539582252502], [0.5353174805641174, 0.8563492298126221, 0.9365079402923584, 0.966269850730896]]",45,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR,MeanPoolMLP_RESVAR_seed45,meanpool,MeanPoolMLP,residual_variance_reg,RESVAR
