model,n_seeds,r2_set_repr_mean_mean,r2_set_repr_mean_ci95_lo,r2_set_repr_mean_ci95_hi,r2_z_mean_mean,r2_z_mean_ci95_lo,r2_z_mean_ci95_hi
DeepSets_NLL,3,0.7568918665250143,0.6963840347302731,0.8173996983197555,0.7460964322090149,0.6611524776422754,0.8310403867757544
DeepSets_RESVAR,3,0.8171266118685404,0.803813318458785,0.8304399052782958,0.8226083715756735,0.7980620616872667,0.8471546814640802
FactorQuery_NLL,3,0.8033784031867981,0.7765369878651015,0.8302198185084947,0.713451623916626,0.6806303033739595,0.7462729444592925
FactorQuery_RESVAR,3,0.8053277730941772,0.7510619392494883,0.8595936069388662,0.0018670141871552914,-0.0015197183868914822,0.005253746761202065
FlatMLP_NLL,3,0.7559855381647745,0.7559535564485119,0.7560175198810372,0.9028388659159342,0.8941827952766469,0.9114949365552215
FlatMLP_RESVAR,3,0.7559855381647745,0.7559535564485119,0.7560175198810372,0.9110472202301025,0.9082619373691645,0.9138325030910406
MeanPoolLinear_NLL,3,0.6846912105878195,0.6846652671623895,0.6847171540132494,0.6846912105878195,0.6846652671623895,0.6847171540132494
MeanPoolLinear_RESVAR,3,0.6846911708513895,0.6846650589622112,0.6847172827405679,0.6846911509831747,0.6846650937252491,0.6847172082411003
MeanPoolMLP_NLL,3,0.6846911509831747,0.6846650937252491,0.6847172082411003,0.7929163177808126,0.7888728989860794,0.7969597365755459
MeanPoolMLP_RESVAR,3,0.6846911509831747,0.6846650937252491,0.6847172082411003,0.7966810067494711,0.7830497050741967,0.8103123084247454
